EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME,SECTOR,SIZE_BUCKET,ORG_NAME,AVG_RECENT_REVENUE,AVG_PRIOR_REVENUE,PCT_CHANGE,MOMENTUM_SCORE,VOLATILITY,MOMENTUM_CLASS,REVENUE,PROGRAM_PCT,IS_HOLLOW,IS_TURBULENT
116325184,TR U W EVELYN PRAY B O SALVATION ARMY,% THE BANK OF NEW YORK MELLON,PO BOX 185,PITTSBURGH,PA,15230,0000,03,3,1000,198707,1,04,602000000,2,01,202401,4,4,00,1,01,182536.0,102203.0,,,,Unknown,Small,Tr U W Evelyn Pray B O Salvation Army,16482,27304,-39.64,-15062,1.1,turbulent,568,0.0,False,True
116325185,AMERICAN BIBLE SOCIETY,,PO BOX 185,PITTSBURGH,PA,15230,0000,03,3,1000,198707,1,17,602000000,2,01,202401,4,4,00,1,01,195170.0,109036.0,,,,Unknown,Small,American Bible Society,18196,26905,-32.37,-15130,0.85,turbulent,1710,0.0,False,True
131425760,UNITED ELECTRICAL RADIO & MACHINE WORKERS OF AMERICA,% ANDREW DINKELAKER SECY TREAS,9TH FLOOR,PITTSBURGH,PA,15222,0735,05,6,3000,194411,2,00,263000000,5,01,202306,6,6,01,0,06,2516548.0,4329973.0,4329973.0,,NATIONAL OFFICE,Unknown,Large,United Electrical Radio & Machine Workers Of America,4704250,3422659,37.44,-584156,0.3,uncategorized,4221771,96.43,False,False
132643045,AGMA HEALTH FUND,,CO CDS 5 HOT METAL STREET 200,PITTSBURGH,PA,15203,0000,09,3,1000,197112,2,00,264000000,2,01,202408,8,8,01,0,08,13776019.0,20063937.0,12436075.0,,,Unknown,Major,Agma Health Fund,9247654,7311405,26.48,3947211,0.18,strong_momentum_up,11809609,92.0,False,False
133041396,GEORGE LINK JR FOUNDATION INC,% THE BANK OF NEW YORK,PO BOX 185,PITTSBURGH,PA,15230,0000,03,3,1000,198104,1,04,602560000,1,01,202312,8,8,00,1,12,34052911.0,26028104.0,,,,Unknown,Major,George Link Jr Foundation Inc,3351227,2502744,33.9,-255507,0.7,turbulent,1329287,0.0,True,True
133091601,AMERICAN SOCIETY OF BIOMECHANICS,% MARIA PASQUALE MINTZ,122 LEE RD,PITTSBURGH,PA,15237,0000,03,3,2000,198111,1,15,161162000,1,01,202312,5,5,01,0,12,712484.0,665520.0,665520.0,,,Unknown,Medium,American Society Of Biomechanics,161880,141787,14.17,173058,0.5,weak_up,250231,54.09,False,False
133202047,S K YEE FOUNDATION INC,% BANK OF NEW YORK MELLON,PO BOX 185,PITTSBURGH,PA,15230,0000,03,3,1000,198501,1,04,602000000,1,01,202406,5,3,00,1,06,689915.0,34167.0,,,,Unknown,Micro,S K Yee Foundation Inc,1707050,765944,122.87,-835631,1.33,turbulent,34807,0.0,False,True
133318348,EARLY MUSIC AMERICA INC,% ANN FELTER,801 VINIAL STREET 300,PITTSBURGH,PA,15212,0000,03,3,1000,198808,1,15,119000000,1,01,202406,5,4,01,0,06,562697.0,451951.0,451951.0,A54Z,,Arts & Culture,Medium,Early Music America Inc,502731,371936,35.17,-191375,0.16,uncategorized,427362,45.45,False,False
133364852,CORNING GLASS WORKS LTD SALARIED EMPLOYEES,% THE BANK OF NEW YORK MELLON,PO BOX 535007,PITTSBURGH,PA,15253,0000,09,3,1000,198802,2,00,279000000,1,01,202312,9,9,01,0,12,61478605.0,96529773.0,96529773.0,,,Unknown,Major,Corning Glass Works Ltd Salaried Employees,88955234,661422,13349.08,16535811,1.86,turbulent,78781343,99.54,False,True
133413809,FATHER FLANAGAN BOYS HOME 1 538486,,PO BOX 185,PITTSBURGH,PA,15230,0000,03,3,1000,201810,1,04,909000000,2,01,202312,5,5,00,1,12,750937.0,607988.0,,T20,,Philanthropy & Foundations,Medium,Father Flanagan Boys Home 1 538486,86610,47737,81.43,65006,0.65,turbulent,94149,0.0,True,True
133417413,PRESBYTERIAN CHURCH HOPEWELL TRUST 792877,% BNY MELLON NA,PO BOX 185,PITTSBURGH,PA,15230,0000,92,0,1000,000000,0,00,000000000,0,12,202312,4,3,00,1,12,119383.0,61574.0,,,,Unknown,Small,Presbyterian Church Hopewell Trust 792877,11047,8599,28.46,-9649,0.97,turbulent,340,0.0,False,True
133438873,CONG CHURCH OF MANHASSET,% BNY MELLON NA,PO BOX 185,PITTSBURGH,PA,15230,0000,03,3,1000,199903,1,04,000000000,2,01,202405,5,4,00,1,05,950414.0,216672.0,,T11,,Philanthropy & Foundations,Small,Cong Church Of Manhasset,83145,47197,76.16,-93860,1.79,turbulent,-33293,,False,True
133515780,NATIONAL ASSOCIATION OF PERISHABLE AGRICULTURAL RECEIVERS INC,,5000 5TH AVE APT 207,PITTSBURGH,PA,15232,0000,06,3,3000,202501,2,00,205000000,1,01,201912,3,4,01,0,12,61265.0,118850.0,88520.0,K01,,Food & Nutrition,Small,National Association Of Perishable Agricultural Receivers Inc,81685,100326,-18.58,17930,0.23,weak_down,99671,0.0,True,False
133543303,GERALD T SUTLIFF TR UW,,PO BOX 185,PITTSBURGH,PA,15230,0000,03,3,1000,199111,1,04,040602000,2,01,202409,4,3,00,1,09,245104.0,72200.0,,,,Unknown,Small,Gerald T Sutliff Tr Uw,30297,18279,65.75,42643,1.07,turbulent,58148,0.0,True,True
133619111,EUROPEAN COMMUNITY STUDIES ASSOCIATION INC,,415 BELLEFIELD HALL,PITTSBURGH,PA,15260,0000,03,3,2000,199108,1,15,995123000,1,01,202312,4,4,01,0,12,112771.0,147788.0,147788.0,Q035,,International Relief,Small,European Community Studies Association Inc,92748,164661,-43.67,142414,0.55,turbulent,192417,70.12,False,True
133653176,COMMUNITY SERVICE SOCIETY OF NY NO 3,% THE BANK OF NEW YORK TAX DEPT,PO BOX 185,PITTSBURGH,PA,15230,0000,92,3,1000,000000,0,00,909000000,6,12,202408,4,4,00,1,08,371364.0,115789.0,,,459620,Unknown,Small,Community Service Society Of Ny No 3,45649,23153,97.16,61729,0.72,turbulent,86407,0.0,True,True
133669246,BELLA SPEWACK TR UW ARTICLE 5,% BNY MELLON NA TTEE,PO BOX 185,PITTSBURGH,PA,15230,0000,03,3,1000,199212,1,04,326602000,2,01,202406,6,4,00,1,06,1248594.0,423582.0,,,,Unknown,Medium,Bella Spewack Tr Uw Article 5,83576,98332,-15.01,16480,0.61,turbulent,85115,0.0,True,True
133728333,ARTHUR H CONNOR CHARITABLE TR,% BANK OF NEW YORK,PO BOX 185,PITTSBURGH,PA,15230,0000,03,3,1000,199309,1,04,602040000,2,01,202312,5,4,00,1,12,641087.0,347289.0,,,,Unknown,Medium,Arthur H Connor Charitable Tr,58581,46769,25.26,-49217,0.91,turbulent,3461,0.0,False,True
133751306,GRANITE STATE ELECTRIC COMPANY POST RETIREMENT BENEFIT TRUST FOR THE,% THE BANK OF NEW YORK MELLON,PO BOX 535007,PITTSBURGH,PA,15253,0000,09,3,1000,199507,2,00,265263000,2,01,202312,8,6,01,0,12,33258823.0,3897351.0,1245715.0,Y43,NON-REP LIFE,Mutual Benefit,Large,Granite State Electric Company Post Retirement Benefit Trust For The,2386361,3474768,-31.32,1656557,0.66,turbulent,3031075,0.0,True,True
133751314,GRANITE STATE ELECTRIC COMPANY POST RETIREMENT BENEFIT TRUST FOR THE,% THE BANK OF NEW YORK MELLON,PO BOX 535007,PITTSBURGH,PA,15253,0000,09,3,1000,199507,2,00,265263000,2,01,202308,0,8,01,0,08,0.0,40365003.0,5878087.0,Y43,NON-REP MEDICAL,Mutual Benefit,Major,Granite State Electric Company Post Retirement Benefit Trust For The,17092391,16048351,6.51,-1897161,0.63,turbulent,11579155,0.0,True,True
133751316,GRANITE STATE ELECTRIC COMPANY POSTRETIREMENT BENEFIT TRUST FOR,% THE BANK OF NEW YORK MELLON,PO BOX 535007,PITTSBURGH,PA,15253,0000,09,3,1000,199507,2,00,000000000,2,01,202312,9,9,01,0,12,1162414827.0,58436593.0,38165135.0,Y43,REP HEALTH,Mutual Benefit,Major,Granite State Electric Company Postretirement Benefit Trust For,173073753,71058786,143.56,80863144,0.65,turbulent,133623205,5.58,True,True
133817903,ENTERGY CORP COMPANIES BARGAINING EMPLOYEES WELFARE BENEFIT TRUST,% THE BANK OF NEW YORK MELLON,PO BOX 535007,PITTSBURGH,PA,15253,0000,09,3,1000,199605,2,00,265000000,2,01,202312,9,9,01,0,12,357008654.0,137237741.0,10515307.0,,,Unknown,Major,Entergy Corp Companies Bargaining Employees Welfare Benefit Trust,18966228,28274195,-32.92,-6648205,0.64,turbulent,9709799,0.0,True,True
133817904,ENTERGY CORP COMPANIES NON BARGAINING EMPLOYEES WELFARE BENEF,% THE BANK OF NEW YORK MELLON,PO BOX 535007,PITTSBURGH,PA,15253,0000,09,0,1000,000000,0,00,000000000,2,01,202312,9,7,01,0,12,73307563.0,9549898.0,4111758.0,,,Unknown,Large,Entergy Corp Companies Non Bargaining Employees Welfare Benef,10165594,14527034,-30.02,-3090470,0.46,strong_momentum_down,4854938,0.0,True,False
133872638,NEW YORK MEDICAL COLLEGE VOLUNTARY EMPLOYEES BENEFICIARY ASSOCIATION,% THE BANK OF NEW YORK MELLON,PO BOX 535007,PITTSBURGH,PA,15253,0000,09,3,1000,199606,2,00,265264000,2,01,202406,6,5,01,0,06,4058235.0,521740.0,519482.0,,,Unknown,Medium,New York Medical College Voluntary Employees Beneficiary Association,574617,779082,-26.24,-331596,0.41,strong_momentum_down,414512,98.65,False,False
133913427,KEYSPAN CORPORATION LIFE INSURANCE MASTER TR FOR MANAGEMENT EMPLOYEES,% THE BANK OF NEW YORK MELLON,PO BOX 535007,PITTSBURGH,PA,15253,0000,09,3,1000,199701,2,00,263264265,2,01,202312,9,9,01,0,12,95223431.0,102169235.0,47710027.0,Y43,,Mutual Benefit,Major,Keyspan Corporation Life Insurance Master Tr For Management Employees,3195212,3099994,3.07,-2134152,0.66,turbulent,1639015,0.0,True,True
133914183,VEBA TRUST FOR UNION EMPLOYEES OF KEYSPAN CORPORATION,% THE BANK OF NEW YORK MELLON,PO BOX 535007,PITTSBURGH,PA,15253,0000,09,3,1000,199910,2,00,263264265,2,01,202312,9,8,01,0,12,1077167491.0,46694480.0,10882351.0,Y43,,Mutual Benefit,Major,Veba Trust For Union Employees Of Keyspan Corporation,156908301,59345927,164.4,62602057,0.76,turbulent,111299046,0.16,True,True
134009945,VEBA HEALTH INSURANCE TRUST FOR NON-UNION EMPLOYEES OF KEYSPAN,% THE BANK OF NEW YORK MELLON,PO BOX 535007,PITTSBURGH,PA,15253,0000,09,3,1000,200003,2,00,000000000,2,01,202312,9,9,01,0,12,156551799.0,129469090.0,24480894.0,Y43,LILCO-LEASED LIPA NON-UNION VEBA,Mutual Benefit,Major,Veba Health Insurance Trust For Non Union Employees Of Keyspan,6092542,17132895,-64.44,-1662458,0.62,turbulent,3044133,11.46,True,True
134203614,MASCARO FAMILY FOUNDATION,% CHARLES SOLKOVY,1720 METROPOLITAN ST,PITTSBURGH,PA,15233,0000,03,3,1000,201007,1,04,000000000,1,01,202312,7,8,00,1,12,9560337.0,12654683.0,,T20,,Philanthropy & Foundations,Major,Mascaro Family Foundation,315140,1170591,-73.08,205881,1.21,turbulent,340424,0.0,True,True
134297571,TC HOUSE INC,% STEPHEN MCGOUGH,PO BOX 38,IMPERIAL,PA,15126,0000,03,3,1000,200705,1,16,000000000,1,01,202312,0,0,02,0,12,0.0,0.0,0.0,L99,,Housing & Shelter,Micro,Tc House Inc,53754,26074,106.15,-26269,0.46,uncategorized,44927,0.0,False,False
135596743,AMERICAN MCALL ASSOCIATION INC,,PO BOX 185,PITTSBURGH,PA,15230,0000,03,1,1000,193407,1,04,029000000,1,01,202312,6,4,00,1,12,1318026.0,490540.0,,,,Unknown,Medium,American Mcall Association Inc,124462,89654,38.82,60771,0.56,turbulent,114795,0.0,True,True
136042829,SAINT ELIZABETHS MEMORIAL CHAPEL,% THE BANK OF NY,PO BOX 185,PITTSBURGH,PA,15230,0000,03,3,1000,197108,1,17,602029000,2,01,202312,5,4,01,0,12,717121.0,373367.0,25637.0,,ST ELIZABETHS MEMORIAL CHAPEL,Unknown,Medium,Saint Elizabeths Memorial Chapel,62023,42007,47.65,-53939,1.12,turbulent,3708,0.0,False,True
136060248,VERA B DAVID ESTATE TR UW,,PO BOX 185,PITTSBURGH,PA,15230,0000,92,3,1000,000000,0,04,909000000,6,12,202312,6,6,00,1,12,2604469.0,1425118.0,,,,Unknown,Large,Vera B David Estate Tr Uw,236869,189351,25.1,75508,0.53,turbulent,201512,0.0,True,True
136060454,HASTINGS FOUNDATION TR,,PO BOX 185,PITTSBURGH,PA,15230,0000,03,3,1000,201611,1,04,000000000,2,01,202312,8,8,00,1,12,26962945.0,22080215.0,,T20,,Philanthropy & Foundations,Major,Hastings Foundation Tr,1514404,1475229,2.66,101690,0.89,turbulent,898401,0.0,True,True
136060728,MILLER SCHOOL OF ALBEMARLE TR UW 747714,% THE BANK OF NEW YORK-TAX DEPT,PO BOX 185,PITTSBURGH,PA,15230,0000,92,3,1000,000000,0,00,909000000,5,12,202312,6,6,00,1,12,2193073.0,2148207.0,,,,Unknown,Large,Miller School Of Albemarle Tr Uw 747714,148837,131203,13.44,-34168,0.43,weak_up,97849,0.0,True,False
136060934,MICHAEL M SHOEMAKER ESTATE TRUST UW 832881,% MELLON BANK N A,PO BOX 185,PITTSBURGH,PA,15230,0000,92,3,1000,000000,0,00,909000000,5,12,202312,7,6,00,1,12,6477446.0,2244199.0,,,,Unknown,Large,Michael M Shoemaker Estate Trust Uw 832881,332434,1361134,-75.58,-537485,1.06,turbulent,-401463,,False,True
136062105,MARY COLGATE TRUST,% THE BANK OF NEW YORK TAX DEPT,PO BOX 185,PITTSBURGH,PA,15230,0000,03,3,1000,197303,0,04,909000000,6,01,202312,3,3,00,1,12,87983.0,52431.0,,,,Unknown,Small,Mary Colgate Trust,7978,5747,38.8,-7293,1.18,turbulent,321,0.0,False,True
136062187,MAY BILLINGTON & GEORGE L HENDERSO N SCHOLARSHIP FUND,% THE BANK OF NEW YORK,PO BOX 185,PITTSBURGH,PA,15230,0000,03,3,1000,196402,1,04,040000000,2,01,202312,4,3,00,1,12,154018.0,80522.0,,,,Unknown,Small,May Billington & George L Henderso N Scholarship Fund,13354,10515,26.99,-12084,0.7,turbulent,397,0.0,False,True
136062252,TRUST UW ROSALTHEA JUDD,% BANK OF NEW YORK,PO BOX 185,PITTSBURGH,PA,15230,0000,03,3,1000,199201,1,04,600000000,2,01,202410,4,3,00,1,10,242023.0,83046.0,,,,Unknown,Small,Trust Uw Rosalthea Judd,31077,19959,55.7,43193,0.91,turbulent,59138,0.0,True,True
136062308,TRUST W FRANCES M WILSON 211200,% THE BANK OF NEW YORK TAX DEPT,PO BOX 185,PITTSBURGH,PA,15230,0000,92,3,1000,197012,0,00,909000000,6,12,202312,4,4,00,1,12,293759.0,155594.0,,,,Unknown,Small,Trust W Frances M Wilson 211200,29785,20093,48.23,-30427,0.89,turbulent,-899,,False,True
136063390,NOTEMAN MEMORIAL FUND TRUST,% THE BANK OF NEW YORK-TAX DEPT,PO BOX 185,PITTSBURGH,PA,15230,0000,03,3,1000,197201,1,04,602179000,2,01,202312,7,5,00,1,12,5412532.0,603317.0,,E110,,Health,Medium,Noteman Memorial Fund Trust,867766,823242,5.41,-463462,0.27,weak_up,611619,0.0,True,False
136064123,JACOB L REISS FOUNDATION,% THE BANK OF NEW YORK TAX DEPT,PO BOX 185,PITTSBURGH,PA,15230,0000,03,3,1000,195503,1,04,602000000,1,01,202312,7,6,00,1,12,5241444.0,2172789.0,,,,Unknown,Large,Jacob L Reiss Foundation,314040,299797,4.75,239961,0.68,turbulent,236321,0.0,True,True
136078241,WILLIAM J HENDERSON MEMORIAL FUND,% THE BANK OF NY,PO BOX 185,PITTSBURGH,PA,15230,0000,92,3,1000,197012,0,00,909000000,2,12,202312,4,4,00,1,12,317294.0,170430.0,,,,Unknown,Small,William J Henderson Memorial Fund,28265,24228,16.67,-28552,0.81,turbulent,-1297,,False,True
136078275,COLUMBIA UNIVERSITY-MAGONIGLE FUND,,PO BOX 185,PITTSBURGH,PA,15230,0000,92,3,1000,198212,0,00,909000000,6,12,202312,8,7,00,1,12,10642718.0,8592589.0,,,,Unknown,Large,Columbia University Magonigle Fund,912145,1076044,-15.23,178681,0.9,turbulent,533733,0.0,True,True
136078494,MARGARET VOORHIES HAGGIN MEMORIAL TRUST,% BANK OF NEW YORK TTEE TAX DEPT,PO BOX 185,PITTSBURGH,PA,15230,0000,03,3,1000,194003,1,04,602000000,2,01,202312,8,8,00,1,12,24864250.0,12547489.0,,,,Unknown,Major,Margaret Voorhies Haggin Memorial Trust,2223606,1436256,54.82,708129,0.84,turbulent,1312417,0.0,True,True
136078515,EVANGELICAL THEOLOGICAL SEMINARY NECT,% BNY MELLON N A,PO BOX 185,PITTSBURGH,PA,15230,0000,03,3,1000,197012,1,04,909000000,2,01,202312,4,1,00,1,12,106672.0,5768.0,,,,Unknown,Micro,Evangelical Theological Seminary Nect,8202,11512,-28.75,6280,0.54,turbulent,10905,0.0,False,True
136078577,ANNA H HUNTINGTON TRUST 2 676560,% BNY MELLLON NA,PO BOX 185,PITTSBURGH,PA,15230,0000,92,3,1000,000000,0,00,909000000,6,12,202405,3,3,00,1,05,59521.0,54344.0,,,,Unknown,Small,Anna H Huntington Trust 2 676560,655,730,-10.23,-14,0.94,turbulent,856,0.0,False,True
136078579,ARCHER M HUNTINGTON TRUST NO 7 676580,% BANK OF NEW YORK,PO BOX 185,PITTSBURGH,PA,15230,0000,92,3,1000,198210,0,00,909000000,6,12,202312,4,3,00,1,12,128123.0,44686.0,,,,Unknown,Micro,Archer M Huntington Trust No 7 676580,1966,4201,-53.19,-495,0.4,strong_momentum_down,1824,0.0,False,False
136078580,ARCHER M HUNTINGTON TRUST 8,% BANK OF NEW YORK,PO BOX 185,PITTSBURGH,PA,15230,0000,92,3,1000,198210,0,00,909000000,6,12,202312,4,3,00,1,12,107472.0,28128.0,,,,Unknown,Micro,Archer M Huntington Trust 8,1964,1466,33.99,-249,0.6,turbulent,1903,0.0,False,True
136078582,ARCHER M HUNTINGTON TR 2 676620,,PO BOX 185,PITTSBURGH,PA,15230,0000,03,0,1000,000000,0,04,000000000,0,01,202312,6,6,00,1,12,2756101.0,1279572.0,,,,Unknown,Large,Archer M Huntington Tr 2 676620,278840,193594,44.03,262325,0.52,turbulent,379148,0.0,True,True
136078583,ARCHER M HUNTINGTON CHARITABLE TR A,,PO BOX 185,PITTSBURGH,PA,15230,0000,03,3,1000,197108,1,04,602000000,2,01,202312,7,6,00,1,12,5673088.0,3896861.0,,,,Unknown,Large,Archer M Huntington Charitable Tr A,462622,374077,23.67,215441,0.54,turbulent,396108,0.0,True,True
136078584,ARCHER M HUNTINGTON CHARIT TRUST B,% BANK OF NEW YORK,PO BOX 185,PITTSBURGH,PA,15230,0000,03,3,1000,197108,1,04,602000000,2,01,202312,6,6,00,1,12,3877724.0,2799945.0,,A120,,Arts & Culture,Large,Archer M Huntington Charit Trust B,335862,288728,16.32,118340,0.51,turbulent,279111,0.0,True,True
136078586,ARCHER M HUNTINGTON NO 4 676660,% THE BANK OF NEW YORK MELLON,PO BOX 185,PITTSBURGH,PA,15230,0000,92,3,1000,198210,0,00,909000000,6,12,202312,3,1,00,1,12,44191.0,1338.0,,,,Unknown,Micro,Archer M Huntington No 4 676660,395,1860,-78.76,-237,0.55,turbulent,129,0.0,False,True
136078588,ARCHER M HUNTINGTON TRUST 6 NECT,% THE BANK OF NEW YORK MELLON,PO BOX 185,PITTSBURGH,PA,15230,0000,92,3,1000,197012,0,00,909000000,6,12,202312,3,1,00,1,12,56494.0,5928.0,,,,Unknown,Micro,Archer M Huntington Trust 6 Nect,783,2210,-64.56,-93,0.45,strong_momentum_down,637,0.0,False,False
136078589,ARCHER M HUNTINGTON TRUST 9,% BANK OF NEW YORK,PO BOX 185,PITTSBURGH,PA,15230,0000,92,3,1000,198210,0,00,909000000,6,12,202312,3,2,00,1,12,73106.0,23310.0,,,,Unknown,Micro,Archer M Huntington Trust 9,1064,2839,-62.52,-260,0.44,strong_momentum_down,827,0.0,False,False
136078590,ARCHER M HUNTINGTON TRUST 10,% BANK OF NEW YORK,PO BOX 185,PITTSBURGH,PA,15230,0000,92,3,1000,198210,0,00,909000000,6,12,202312,3,3,00,1,12,56313.0,34301.0,,,,Unknown,Micro,Archer M Huntington Trust 10,569,1609,-64.63,-533,0.57,turbulent,317,0.0,False,True
136078591,ARCHER M HUNTINGTON TRUST 11,% BANK OF NEW YORK MELLON TRUSTEE,PO BOX 185,PITTSBURGH,PA,15230,0000,92,3,1000,198210,0,00,909000000,6,12,202312,3,2,00,1,12,55387.0,17026.0,,,,Unknown,Micro,Archer M Huntington Trust 11,685,1835,-62.63,-174,0.61,turbulent,481,0.0,False,True
136078592,ARCHER M HUNTINGTON TRUST 12,% THE BANK OF NEW YORK MELLOW,PO BOX 185,PITTSBURGH,PA,15230,0000,92,3,1000,198210,0,00,909000000,6,12,202312,3,1,00,1,12,56440.0,1891.0,,,,Unknown,Micro,Archer M Huntington Trust 12,638,1854,-65.59,-424,0.62,turbulent,303,0.0,False,True
136078615,ADRIAN H JACKSON CHARITABLE TRUST NECT,% BNY MELLON NA,PO BOX 185,PITTSBURGH,PA,15230,0000,92,3,1000,197012,0,00,909000000,2,12,202312,7,6,00,1,12,5787706.0,2079814.0,,,,Unknown,Large,Adrian H Jackson Charitable Trust Nect,513759,453202,13.36,220337,0.77,turbulent,462442,0.0,True,True
136078616,PETER A H & ESTHER H JACKSON MEMORIAL TR 683180,% BANK OF NEW YORK MELLON TTEE,PO BOX 185,PITTSBURGH,PA,15230,0000,92,3,1000,197012,0,00,909000000,6,12,202312,6,5,00,1,12,1124704.0,626454.0,,,,Unknown,Medium,Peter A H & Esther H Jackson Memorial Tr 683180,103806,76026,36.54,-88195,0.87,turbulent,4480,0.0,False,True
136078699,KURZMAN FUND,% THE BANK OF NY TAX DEPT,PO BOX 185,PITTSBURGH,PA,15230,0000,92,3,1000,197012,0,00,909000000,6,12,202312,4,4,00,1,12,237081.0,123883.0,,,,Unknown,Small,Kurzman Fund,20909,17503,19.46,-19724,0.99,turbulent,-36,,False,True
136078706,LATHAM FOUNDATION FOR PROMOTION HUMANE EDUCATION,% BNY MELLON NA,PO BOX 185,PITTSBURGH,PA,15230,0000,92,3,1000,197012,0,00,909000000,6,12,202312,6,6,00,1,12,2149833.0,1181435.0,,,,Unknown,Large,Latham Foundation For Promotion Humane Education,192574,196843,-2.17,31556,0.61,turbulent,124853,0.0,True,True
