EIN,NAME,SECTOR,INCOME_AMT,ASSET_AMT,ZIP
251021794,PASSAVANT MEMORIAL HOMES,Human Services,86075307.0,51805780.0,15238
842311959,WESTERN PENNSYLVANIA SCHOOL FOR BLIND CHILDREN FOUNDATION,Education,85499695.0,316344500.0,15213
250847810,UNION DALE CEMETERY,Unknown,85362930.0,67564793.0,15212
251098928,GOODWILL OF SOUTHWESTERN PENNSYLVANIA,Employment,83377813.0,87379957.0,15201
250994648,IRON WORKERS WELFARE PLAN OF WESTERN PENNSYLVANIA,Unknown,83010381.0,61761645.0,15222
030480551,MOUNTAIN VIEW CANCER ASSOCIATES INC,Health,82612264.0,18367984.0,15219
256026443,EDITH L TREES CHARITABLE TRUST,Unknown,81799594.0,336042615.0,15212
232176963,UPMC,Health,80764584.0,47775218.0,15219
250965280,CARNEGIE INSTITUTE,Arts & Culture,79222686.0,592986844.0,15213
251442933,DOLLAR ENERGY FUND INC,Housing & Shelter,79219407.0,33568622.0,15219
271404121,ATI USW VEBA TRUST,Mutual Benefit,76375975.0,92245525.0,15222
256018593,J M LOCKHART LOCKHART J M ALLY HERC,Philanthropy & Foundations,74630477.0,81209485.0,15230
820947698,PINNACLE HEALTH REGIONAL PHYSICIANS,Health,74584773.0,4703410.0,15219
250965460,PRESSLEY RIDGE,Unknown,71268874.0,39001322.0,15214
250965561,SHADY SIDE ACADEMY,Education,69642757.0,146462622.0,15238
251865744,CHILDRENS HOSPITAL PITTSBURGH FOUNDATION,Health,68629066.0,408661456.0,15224
251596285,FRICK ART & HISTORICAL CENTER INC,Unknown,68017602.0,112726826.0,15208
236295794,PENNSYLVANIA HEAVY & HIGHWAY CONTRACTORS WELFARE FUND,Unknown,67100364.0,39967536.0,15222
250986052,PITTSBURGH SYMPHONY INC,Arts & Culture,65539752.0,165429946.0,15222
256210269,MCCUNE FOUNDATION,Unknown,64018027.0,142078330.0,15222
