EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
020679892,CHABAD LUBAVITCH OF FOX CHAPEL INC,% RABBI ELIYOHU ROSENFELD,1343 OLD FREEPORT RD,PITTSBURGH,PA,15238,0000,03,3,7000,200308,1,10,000000000,1,01,,0,0,06,0,01,,,,X30,
020704553,IGWEBUIKE ASSOCIATION OF PITTSBURGH METROPOLITAN AREA,% BENEDETTE N CHUKWUMEZIE,906 LYNDA LN,N VERSAILLES,PA,15137,0000,03,3,1000,202111,1,15,000000000,1,01,202312,0,0,02,0,12,0,0,0,A23,
020704699,GATEWAY MEDICAL SOCIETY INC,% HILLHOUSE ASSOCIATION,925 BRIGHTON ROAD SUITE 1B,PITTSBURGH,PA,15233,0000,03,3,2100,200509,1,15,000000000,1,01,202312,4,4,01,0,12,102037,125848,82101,B99,
020726918,MONTOUR VALLEY FIREMENS RELIEF FUND,% ROBERT LAMBERT,111 PINE ST,IMPERIAL,PA,15126,0000,03,3,1000,200508,1,15,000000000,1,01,202312,4,3,01,0,12,129925,70758,70758,M112,
020733877,2004 CARITA FOUNDATION,% BNY MELLON TR OF DELAWARE,PO BOX 185,PITTSBURGH,PA,15230,0000,03,3,1000,200511,1,04,000000000,0,01,202406,7,6,00,1,06,5338625,3322490,,T20,
020758876,NATIONAL HOCKEY LEAGUE PLAYERS HEALTH AND BENEFITS FUND,% CDS ADMINISTRATORS INC,60 BOULEVARD OF THE ALLIES 5TH FL,PITTSBURGH,PA,15222,0000,09,3,1000,200702,2,00,000000000,2,01,202406,9,9,01,0,06,52788780,60841623,46866332,Y44,
020761407,EDUNATIONS INC,% MEMORIAL PARK CHURCH,8800 PEEBLES RD,ALLISON PARK,PA,15101,0000,03,3,2100,200804,1,15,000000000,1,01,202308,3,6,01,0,08,44153,1037822,1002992,Q33,
020801251,BURGH BEARS,% RALPH L BARNES III,1552 BERKSHIRE AVE,PITTSBURGH,PA,15226,0000,07,3,1000,201905,2,00,000000000,1,01,202212,0,0,02,0,12,0,0,0,N50,
026006301,ARTHUR G LEACOCK TRUST UW,% MELLON TRUST OF NEW ENGLAND NA,PO BOX 185,PITTSBURGH,PA,15230,0000,03,3,1000,200605,1,04,000000000,1,01,202312,6,5,00,1,12,1402879,676513,,T20,DOBBYN ROBERT E TTEE
026006309,PAUL ISABEL FBO NEWFIELDS LIBRARY TR 10682496005,,PO BOX 185,PITTSBURGH,PA,15230,0000,92,3,1000,000000,0,00,000000000,5,12,202408,4,3,00,1,08,257729,27927,,,
030322037,SISTER THEA BOWMAN BLACK CATHOLIC EDUCATION FOUNDATION,,8235 OHIO RIVER BLVD,PITTSBURGH,PA,15202,0000,03,3,1000,199107,1,15,602000000,1,01,202306,4,4,01,0,06,474319,346690,333952,,
030398310,CHURCH OF SERVANTS INC,% WILLIAM R BARONTINI,8700 CASA GRANDE DR,PITTSBURGH,PA,15237,0000,03,3,7000,200212,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
030405763,THREE RIVERS CHAPTER OF ACHMM,% ENGINEERS SOCIETY OF WESTERN PA,1121 DEXTER ST,PITTSBURGH,PA,15220,0000,03,3,2000,201009,1,16,000000000,1,01,202412,0,0,02,0,12,0,0,0,J03,
030445350,SEEDS OF HOPE CHURCH,% JOHN PAUL CHANEY,4748 FRIENDSHIP AVE,PITTSBURGH,PA,15224,3741,03,9,7000,194001,1,10,000000000,5,01,,0,0,06,0,12,,,,,
030448978,GOSPEL NETWORK FOR EAST-WEST SERVICES INC,% DAVID WARNOCK,PO BOX 41094,PITTSBURGH,PA,15202,0000,03,3,7000,200208,1,15,000000000,1,01,202312,2,3,02,0,12,15504,45843,45843,X83,G-NEWS
030456313,MCKEESPORT NEIGHBORHOOD INITIATIVES INC,% SHERYL SEARS,502 5TH AVE STE 301,MCKEESPORT,PA,15132,0000,03,3,1200,200501,1,15,000000000,1,01,202406,0,0,02,0,06,0,0,0,L202,MCKEESPORT NEIGHBORHOOD INITIATIVES
030480551,MOUNTAIN VIEW CANCER ASSOCIATES INC,% CHARLES FLACH,600 GRANT STREET 58TH FL CORP TAX,PITTSBURGH,PA,15219,0000,03,3,1000,200705,1,12,000000000,1,01,202406,8,9,01,0,06,18367984,82612264,82612264,E20,
030483260,PROPEL SCHOOLS INC,% HARMONY PRINCE,3447 EAST CARSON ST STE 200,PITTSBURGH,PA,15203,0000,03,3,2000,200308,1,11,000000000,1,01,202306,8,8,01,0,06,27115373,30999096,30999096,B29,PROPEL CHARTER SCHOOL-HOMSTEAD
030483506,ALLEGHENY-UNION BAPTIST ASSOCIATION,% GWENDOLYN P WARE,2700 CENTRE AVE,PITTSBURGH,PA,15219,0000,03,3,7000,200305,1,10,000000000,1,01,,0,0,06,0,06,,,,X20,
030491543,CCOPO INC,% EVANNE ADDAMS,312 DICKSON AVE,PITTSBURGH,PA,15202,0000,03,3,2100,200306,1,15,000000000,1,01,202412,0,0,02,0,12,0,0,0,A23,POLISH CULTURAL COUNCIL
030496021,OLD MEADOW HUNTING CLUB,% GARY A JEFFRIES,208 SNYDER DR,MOON TOWNSHIP,PA,15108,0000,07,3,1000,200503,2,00,000000000,1,01,202312,0,0,02,0,12,0,0,0,N50,
030513070,APPALACHIAN WORK CAMP PROGRAM INC,% E DANIEL SWEENEY,1404 ROMANHOFF ST,PITTSBURGH,PA,15212,0000,03,3,1000,200406,1,15,000000000,1,01,202312,3,4,01,0,12,84662,166310,166310,L20,
030523278,CATHY G CHARITIES,% GARY L GREISINGER,802 SWEETLEAF DR,MONROEVILLE,PA,15146,0000,03,3,1000,202308,1,16,000000000,5,01,202412,0,0,02,0,12,0,0,0,P12,
030532407,PITTSBURGH UROLOGICAL ASSOCIATION,% NADINE POPOVICH,850 RIDGE AVE,PITTSBURGH,PA,15212,0000,06,3,2000,200405,2,00,000000000,5,01,202312,0,0,02,0,12,0,0,0,G039,
030596955,GIRARD LUTHERAN HOUSING CORPORATION,% LUTHERAN SERVICE SOCIETY OF W PA,440 LINCOLN AVE,PITTSBURGH,PA,15202,0000,03,3,1000,200701,1,15,000000000,1,01,202306,6,4,01,0,06,2719694,315473,315473,L20,
036086723,PAUL AND GENE DOBY CHARITABLE TR,% NATIONAL CITY BANK,116 ALLEGHENY CENTER MALL P8YB3502L,PITTSBURGH,PA,15212,0000,03,3,1000,200804,1,04,000000000,2,01,202403,6,4,00,1,03,1158080,388638,,T22,
041302043,LUCY C FARNSWORTH TR UW,% BNY MELLON,PO BOX 185,PITTSBURGH,PA,15230,0000,03,3,1000,195212,1,04,059000000,2,01,202408,7,6,00,1,08,6149234,3348014,,,
041918103,UNITED ELECTRICAL RADIO & MACHINE WORKERS OF AMERICA,% ANDREW DINKELAKER,4 SMITHFIELD STREET 9TH FL,PITTSBURGH,PA,15222,0735,05,9,3000,194411,2,00,263000000,5,01,202312,0,0,02,0,12,0,0,0,,262 LOCAL
042210741,DEAN FOUNDATION FOR LITTLE CHILDREN INC,% BNY MELLON NA FID,PO BOX 185,PITTSBURGH,PA,15230,0000,03,3,1000,192908,1,04,602325328,1,01,202312,6,6,00,1,12,3045067,1716660,,,
042392828,JOHN L BRANDEGEE TRUST,% MELLON BANK N A,PO BOX 185,PITTSBURGH,PA,15230,0000,03,3,1000,199604,1,17,602000000,1,01,202312,8,8,01,0,12,27348555,11398738,466945,T20I,
042633464,WILLIAM PENN ASSOCIATION,% BRANCH 720 DEDMAN MA,709 BRIGHTON RD,PITTSBURGH,PA,15233,1088,08,9,1000,195005,1,00,265211000,5,01,202412,0,0,02,0,12,0,0,0,,BRANCH 720 DEDHAM MA
042648729,WILLIAM H SWEATT TR UW ART 12101657,,PO BOX 185,PITTSBURGH,PA,15230,0000,92,3,1000,197012,0,00,909000000,6,12,202408,6,4,00,1,08,1392284,361207,,,
042790229,FRANCES EMILY HUNT TRUST 10-9571 00-0 CODICIL FUND,% MELLON TR OF NEW ENGLAND,PO BOX 185,PITTSBURGH,PA,15230,0000,03,3,1000,198511,1,04,000000000,1,01,202408,5,3,00,1,08,748935,80328,,,
043220614,EVERSOURCE RETIREES BENEFIT TRUST,% THE BANK OF NEW YORK MELLON,PO BOX 535007,PITTSBURGH,PA,15253,0000,09,3,1000,199506,2,00,265000000,2,01,202312,9,8,01,0,12,747078278,45005948,45005948,,
043256436,NEELY CHARITABLE FUND 080440,% PNC BANK,116 ALLEGHENY CENTER MALL P8YB3502L,PITTSBURGH,PA,15212,0000,92,3,1000,200604,0,00,000000000,6,12,202312,4,4,00,1,12,358844,233294,,,
043296043,FUND FOR CHARITABLE GIVING,% PNC BANK,116 ALLEGHENY CENTER MALL P8YB3502L,PITTSBURGH,PA,15212,0000,03,3,1000,199602,1,15,994602000,1,01,202312,9,9,01,0,12,126871765,124233833,48631120,T99,
043323314,KREMER CHARITABLE REMAINDER TR,% BOSTON SAFE DEPOSIT & TR CO TTEE,PO BOX 185,PITTSBURGH,PA,15230,0000,03,3,1000,199707,1,04,602000000,2,01,202406,4,4,00,1,06,473069,126194,,T22J,
043388014,SEA BREEZE FOUNDATION,% BNY MELLON NA TTEE,HOPE L BAKER C/O BNY MELLON NA - P,PITTSBURGH,PA,15230,0000,03,3,1000,199710,1,04,602000000,2,01,202312,6,5,00,1,12,1968134,560539,,T20Z,
043504246,CHANDLER-GRANT GLAUCOMA SOCIETY INC,% RICHARD J SIMMONS PRES,850 RIDGE AVE,PITTSBURGH,PA,15212,0000,03,3,2000,200106,1,16,000000000,1,01,202412,0,0,02,0,12,0,0,0,G41,
043587471,IDEA FOUNDRY,% STUART BELL,1212 PROSPECT RD,PITTSBURGH,PA,15227,0000,03,3,1000,200204,1,15,000000000,1,01,202312,6,4,01,0,12,1699934,353744,353744,S30,
043629853,PITTSBURGH LATIN MASS COMMUNITY,,PO BOX 101062,PITTSBURGH,PA,15237,0000,03,3,7100,200208,1,15,000000000,1,01,202312,0,0,02,0,12,0,0,0,X99,
043632700,LATTER GLORY MINISTRIES,% LOIS FERREL,PO BOX 10588,PITTSBURGH,PA,15235,0000,03,3,1270,200301,1,15,000000000,1,01,202312,3,4,01,0,12,37589,139925,139925,X20,
043665628,HIMALAYAN INTERNATIONAL INSTITUTE OF YOGA & PHIL OF THE USA,% RUTH L RITTENHOUSE,300 BEVERLY ROAD,PITTSBURGH,PA,15216,3745,03,9,7000,197210,1,10,000000000,1,01,,0,0,06,0,07,,,,,HIMALAYAN INSTITUTE OF PITTSBURGH
043672369,CHRISTIAN METHODIST EPISCOPAL CHURCH,% LAWRENCE ANDERSON,1018 BIDWELL ST,PITTSBURGH,PA,15233,8511,03,9,7000,198009,1,10,001002000,5,01,,0,0,06,0,12,,,,,CARTER CHAPEL CME CHURCH
043709885,UPMC,% CORPORATE TAX DEPT,600 GRANT ST FL 56,PITTSBURGH,PA,15219,9707,03,9,1000,198301,0,16,000000000,1,01,,0,0,01,0,06,,,,,CRANBERRY PLACE
043723273,GARDEN CLUB FEDERATION OF PENNSYLVANIA,% REBECCA LEBEDA,189 SUMMERFIELD DR,MUNHALL,PA,15120,4352,03,9,1000,200410,1,16,000000000,5,01,202404,0,0,02,0,04,0,0,0,C42,DISTRICT X GCFP
043731472,ELIZABETH S BLACK CHARITABLE TR,% PNC BANK NA,500 1ST AVE,PITTSBURGH,PA,15219,0000,03,3,1000,200608,1,04,000000000,2,01,202410,8,7,00,1,10,11250223,6718352,,T20,
043747289,EQT FOUNDATION,% THOMAS QUINLAN,625 LIBERTY AVE STE 1700,PITTSBURGH,PA,15222,0000,03,3,1000,200306,1,04,000000000,1,01,202312,8,7,00,1,12,29043383,5498553,,T20,
043775291,HOLY ANGELS EVANGELICAL LUTHERAN CHURCH,% MICHAEL REED,201 CALDWELL AVE,WILMERDING,PA,15148,9386,03,9,7000,198804,1,10,001000000,1,01,,0,0,06,0,12,,,,,
043786410,FUN AND FREEDOM BASKETBALL INC,% PRISCILLA HOUSTON,PO BOX 63,TARENTUM,PA,15084,0000,03,3,1200,200408,1,16,000000000,1,01,202412,2,3,01,0,12,19182,91673,75123,O50,
043812442,PLUM HOCKEY ASSOCIATION INC,,PO BOX 114099,PITTSBURGH,PA,15239,0000,03,3,1000,200506,1,16,000000000,1,01,202404,2,4,01,0,04,24349,133802,133802,N68,
043837871,SWISSVALE ROTARY CLUB,% DAI MORGAN,7704 WESTMORELAND AVE,PITTSBURGH,PA,15218,0000,04,3,3000,201503,2,00,520349200,5,01,202306,0,0,02,0,06,0,0,0,S80,
046009080,KNOLLWOOD CEMETERY PERP CARE TRUST 10116230000,% BANK OF NEW YORK MELLON,PO BOX 185,PITTSBURGH,PA,15230,0000,13,3,1000,198810,0,00,901000000,2,01,202403,8,7,01,0,03,11187154,5763318,1223978,Y52I,
046009389,KNOLLWOOD CEMETARY BRONZE MEMORIAL,% BOSTON SAFE DEPOSIT AND TRUST CO,PO BOX 185,PITTSBURGH,PA,15230,0000,13,3,2000,198902,1,00,901000000,2,01,202403,6,6,01,0,03,1819914,1073519,211074,,
046014374,HORATIO DAVIS TR UW DAVIS FUND,% RICHARD E BENNINK,PO BOX 185,PITTSBURGH,PA,15230,0000,03,3,1000,197201,1,15,602000000,2,01,202406,5,4,01,0,06,617325,171774,26752,,
046040470,JOHN CALVIN NOYES SCHOLARSHIP FUND,% BNY MELLON NA,PO BOX 185,PITTSBURGH,PA,15230,0000,03,3,2000,196006,1,04,040000000,2,01,202312,5,4,00,1,12,676239,208790,,,
046044983,WESLEY N GRAY TRUST CHAR,% BNY MELLON NA,PO BOX 185,PITTSBURGH,PA,15230,0000,91,3,1000,000000,0,00,928000000,6,12,202108,6,4,01,0,08,1001100,330300,66521,,
046046890,DEAN WELFARE TRUST TR U DECL,% MELLON TR OF NEW ENGLAND,PO BOX 185,PITTSBURGH,PA,15230,0000,03,3,1000,193709,1,04,030602150,2,01,202408,6,4,00,1,08,1013968,474619,,,
046048040,JOHN BROOKS FENNO FUND,% CAROLYN M OSTEEN,PO BOX 185,PITTSBURGH,PA,15230,0000,92,0,1000,000000,0,00,000000000,0,12,202312,5,4,00,1,12,677241,321937,,,
046053426,FRENCH FOUNDATION,% BNY MELLON NA TTEE,PO BOX 185,PITTSBURGH,PA,15230,0000,03,3,1200,194909,1,04,602561059,1,01,202312,7,6,00,1,12,6824393,4236634,,,
046061020,JAMES DUNCAN PHILLIPS TR UW,% BNY MELLON NA,PO BOX 185,PITTSBURGH,PA,15230,0000,03,3,1000,202211,1,04,000000000,1,01,202409,8,8,00,1,09,17627642,17479076,,,
046061022,JAMES D PHILLIPS TR UW ATR5 PAR 2-10-9622-00-1,% MELLON TRUST NEW ENGLAND,PO BOX 185,PITTSBURGH,PA,15230,0000,03,3,1000,197304,1,17,000000000,5,01,202409,6,6,01,0,09,3903086,2323493,93133,,
046061034,J D PHILIPS TR UW ART 5 PAR 2,% MELLON TRUST OF NEW ENGLAND,PO BOX 185,PITTSBURGH,PA,15230,0000,03,3,2000,197304,1,17,602000000,2,01,202409,5,4,01,0,09,565195,414450,48407,,
046061035,PHILLIPS JAMES DUNCAN CHARITABLE LEAD TRUST UW 10109624007,,PO BOX 185,PITTSBURGH,PA,15230,0000,91,3,1000,200706,0,00,000000000,6,12,202312,7,6,01,0,12,5009779,4047507,-250265,,MELLON TRUST OF NEW ENGLAND NA
046078603,GIFFORD A COCHRAN TR UI 14 7842 00 9,% MELLON TR OF NEW ENGLAND,PO BOX 185,PITTSBURGH,PA,15230,0000,92,3,1000,000000,0,00,909000000,6,12,202408,4,3,00,1,08,192832,50376,,,
046080005,COTTING SCHOOL FOR HANDICAPPED,% PNC BANK,116 ALLEGHENY CENTER MALL P8YB3502L,PITTSBURGH,PA,15212,0000,92,3,1000,200603,0,00,909000000,6,12,202312,3,2,00,1,12,56080,18114,,,
046080024,BISHOP OF THE EPISCOPAL DIOCESE,% MASS CO INC TTEE,116 ALLEGHENY CENTER MALL P8YB3502L,PITTSBURGH,PA,15212,0000,03,3,1000,200603,0,04,909000000,6,01,202312,4,4,00,1,12,171896,115256,,,
046080103,UNITARIAN UNIVERSALIST CHURCH TRUST 114 NECT,% THE MASSACHUSETTS CO INC TRUSTEE,116 ALLEGHENY CENTER MALL P8YB3502L,PITTSBURGH,PA,15212,0000,91,3,1000,200604,0,00,909000000,6,01,202312,4,2,02,0,12,166017,15045,7038,,
046080408,LAWRENCE ACADEMY TRUST 582 NECT,% PNC BANK NA TTEE TAX DEPT,500 1ST AVE,PITTSBURGH,PA,15219,0000,91,3,1000,200601,0,00,909000000,6,12,202412,4,4,01,0,12,360052,106545,19298,,
046080422,KING CAESARS FUND,% PNC BANK,116 ALLEGHENY CENTER MALL P8YB3502L,PITTSBURGH,PA,15212,0000,92,3,1000,200603,0,00,909000000,6,12,202312,4,4,00,1,12,385768,248425,,,
046080423,MILTON HOSPITAL,% PNC BANK NA TTEE TAX DEPT,500 1ST AVE,PITTSBURGH,PA,15219,0000,91,3,1000,200604,0,00,909000000,6,01,202412,5,4,01,0,12,539676,159466,29486,,
046081375,AMER CLASS LEAG OF MIAMI UNIV TRUST 1997 NECT,% PNC BANK N A,116 ALLEGHENY CENTER MALL P8YB3502L,PITTSBURGH,PA,15212,0000,92,3,1000,200603,0,00,909000000,6,12,202312,5,4,00,1,12,558768,369395,,,
046081442,THE WILLIAM GUILD HOWARD MEMORIAL SCHOLARSHIP FUND FOR EUROPEAN STUD,% PNC BANK,116 ALLEGHENY CENTER MALL P8YB3502L,PITTSBURGH,PA,15212,0000,92,3,1000,200603,0,00,909000000,6,12,202312,5,4,00,1,12,553438,366889,,,
046082918,AIMEE M L BECKER TRUST 03733-01-0 02-13-61,% PNC BANK NA TTEE,116 ALLEGHENY CENTER MALL P8YB3502L,PITTSBURGH,PA,15212,0000,92,3,1000,198911,1,00,602000000,2,12,202312,7,6,00,1,12,6126350,4058443,,,
046083332,JOSEPH E SIMMONS TRUST,% PNC BANK,116 ALLEGHENY CENTER MALL P8YB3502L,PITTSBURGH,PA,15212,0000,92,3,1000,200603,0,00,909000000,6,12,202312,4,3,00,1,12,101079,65100,,,
