EIN,ORG_NAME,AVG_RECENT_REVENUE,AVG_PRIOR_REVENUE,PCT_CHANGE,MOMENTUM_SCORE,VOLATILITY,MOMENTUM_CLASS
46081442,The William Guild Howard Memorial Scholarship Fund For European Stud,32095,86000,-62.68,-6049,0.8,turbulent
46082918,Aimee M L Becker Trust 03733 01 0 02 13 61,741390,476027,55.75,-623436,1.17,turbulent
46083332,Joseph E Simmons Trust,4891,8141,-39.92,-4607,0.57,turbulent
46091311,Tr U/W Charles M Blake,17662,12199,44.78,26300,0.7,turbulent
46091333,Frank E Busiel Tr Uw   Jjm,115231,78390,47.0,150054,0.56,turbulent
46091344,Trust Uw Isaac W Chick 10 0202 00 1,13411,8883,50.97,20048,0.72,turbulent
46091346,Caroline E Chickering Trust Uw 10 0212 00 0,479263,313987,52.64,647903,0.66,turbulent
46091347,Tr U/W George E Chickering,17750,13145,35.03,23766,0.71,turbulent
46091348,Samuel G Chickering Trust Uw Art 5 10 0214 00 6,707960,457000,54.91,989224,0.62,turbulent
46091349,Samuel Chickering Trust 14 0215 00 5,12288,7687,59.85,18510,0.74,turbulent
46091350,Samuel Chickering Tr 14 0216 00 3,24188,16258,48.77,34683,0.7,turbulent
46091357,William H Conant T U W,51464,37476,37.32,70168,0.65,turbulent
46091358,William H Conant Trust Ui 14 0244 00 5,482339,341754,41.14,680970,0.67,turbulent
46091359,Converse C & M I Costello Trust Ui 14 0245 00 2,33500,22399,49.56,34914,0.56,turbulent
46091399,Bartlett Doe Fund Trust Ui 14 0381 00 5,58425,38197,52.96,72944,0.55,turbulent
46091426,Fay Eugene F Tr U Will,152181,110063,38.27,199977,0.65,turbulent
46091443,John H G & Grace B Gilbert Tr U Ind 10140518002,75438,48176,56.59,95936,0.64,turbulent
46091452,Trust Ui Charles H Greenleaf Art 2 14 0543 00 0 Par 1,8412,6329,32.92,10877,0.62,turbulent
46091453,Greenleaf Charles H Tr U Ind,3144,2437,29.01,184,0.49,strong_momentum_up
46091454,Charles H Greenleaf Tr Ui 10140546003,13183,6527,101.97,17360,0.81,turbulent
46091455,Trust Ui Charles H Greenleaf Art 2 Par 10 14 0548 00 9,16313,8113,101.08,21456,0.79,turbulent
46091456,Charles H Greenleaf Trust 14 0549 00 7,3268,3672,-11.0,442,0.47,weak_down
46091457,Charles H Greenleaf Trust U Tnd 14 0550 00 5,38715,27340,41.6,46536,0.6,turbulent
46091533,Daniel W Lawrence Trust Ua 14 0757 00 6,193591,118195,63.79,244187,0.58,turbulent
46091556,Louis P Metcalf Trust Ui 14 0827 00 7,52644,24985,110.7,65118,0.67,turbulent
46091567,Neal John R Tr Uwill 10100864008,50301,33386,50.66,74940,0.73,turbulent
46091580,Gilman L Parker Tr 10 10 0901 00 8,7347,5566,31.99,9779,0.64,turbulent
46091581,Moses Greely Parker Trust Uw 10 0902 00 6,30178,15219,98.29,44289,0.73,turbulent
46091583,Parker Moses Greely Tr Uw,60739,31480,92.95,80299,0.67,turbulent
46091592,Permanent Science Fund Trust U Decl,282456,135045,109.16,348983,0.62,turbulent
46091626,John C & Cora Mack Robinson Trust U/I,5592,2890,93.47,8386,0.73,turbulent
46091629,Roswell R Robinson Trust U Ind 14 1050 00 5,103173,46873,120.11,138672,0.73,turbulent
46091636,Frederick C Sanford Trust Uw 10 1070 001,25499,16795,51.82,37642,0.72,turbulent
46091637,Sanford Fredrick C Tr Uwill,28780,19081,50.83,42591,0.72,turbulent
46091653,Jeanette T Sheldon Endowment Fund Trust Ua,3396,2688,26.35,-1698,0.41,uncategorized
46091663,Timothy Smith Trust Uw Art 33 10 1147 00 7,20689,9363,120.97,29022,0.69,turbulent
46091664,Timothy Smith Trust Uw 10 1148 00 5 Nect,225543,127456,76.96,296826,0.77,turbulent
46091666,Tr U/W Timothy Smith,1970719,1180056,67.0,2691904,0.76,turbulent
46091668,Dorothy H Spaulding Tr Udecl 14 1161 00 0,35729,23437,52.45,53834,0.73,turbulent
46091682,Tr U/W Peter E Strauss,319539,220536,44.89,431863,0.65,turbulent
46091829,Arthur Fletcher Whitlin Tr Uw   Mhg,54380,39407,38.0,75039,0.6,turbulent
46091845,Mary E Winter Trust Uw 10 1406 00 7 Nect,19680,12983,51.58,29930,0.74,turbulent
46091865,Trust U/W Charles C Ely,371992,235621,57.88,496733,0.8,turbulent
46091874,Susanna K Tobey Trust Uw 10 1518 00 9,81499,52710,54.62,109378,0.72,turbulent
46091916,Robert H Kelly Trust Ui 14 1664 00 3,288046,175349,64.27,364807,0.66,turbulent
46091978,Mary Ida Converse Trust Ui 14 1813 00 6,75308,158183,-52.39,-57754,0.92,turbulent
46091990,Frank A Champlain Tr 10 10 1849 008,25098,16541,51.73,37540,0.74,turbulent
46091996,Arthur Felton Trust 14 1865 00 6,5795,3874,49.57,8708,0.72,turbulent
46092011,B T Morrison Trust Ui 14 1918 00 0,52249,35515,47.12,70940,0.68,turbulent
46092036,Helen R Richards Tr Uw 10 1971 00 0,481757,323911,48.73,610323,0.63,turbulent
46092040,Deutsches Altenheim Inc Tr U/Deed 14 1978 007 Nect,65778,57002,15.4,63900,0.37,weak_up
46092050,Helen Walcott Stockwell Tr Uw 10101998003,103531,73651,40.57,136814,0.55,turbulent
46092181,Elizabeth S Tappan Tr 10102442001,11454,7803,46.78,17235,0.7,turbulent
46092262,Tr U/W Pamelia E Sayward,59727,31964,86.85,77371,0.65,turbulent
46092271,Tr U/Deed Charles M Cox 14 2640 00 2,45935,22033,108.48,61441,0.74,turbulent
46092280,Madeline H Soren Tr U Will 10102663002,23163,39291,-41.05,-12488,0.82,turbulent
46092311,Theodore H Castor Tr Uw 10102759008,91996,44926,104.77,127753,0.72,turbulent
46092370,Trust Udecl Fannie E Morrison 14 2898 00 6,19301,13311,44.99,25627,0.63,turbulent
46092378,Charles B Oliver Trust Uw 10 2919 00 8,14703,9550,53.96,22021,0.73,turbulent
46092398,Adelaide Willett Trust 10 14 2977 00 8,18189,11820,53.88,26935,0.83,turbulent
46092443,Tr Uw William M Currier 10 3062 00 6,54212,38903,39.35,-33239,0.67,turbulent
46092496,Warren Frances Knowles Trust U Ind 14 3171 0007,423273,379477,11.54,108157,0.23,weak_up
46092524,Lewis Bass Trust Uw 10103231007,114736,74335,54.35,159078,0.6,turbulent
46092529,Herbert H Fletcher Tr U Will 10103244000,39450,20269,94.63,51742,0.71,turbulent
46092559,Fanny B Reed Tr Uw   Mhg,191867,130531,46.99,252403,0.64,turbulent
46092560,Frederick W Bridge Trust Uw 10 3291 00 1,49743,31936,55.76,75553,0.75,turbulent
46092582,Herbert Russell P Tru U Will 10103329009,49119,34317,43.13,64636,0.66,turbulent
46092659,David S Lynch Trust Uw Art 30 10 3493 00 3,34666,22186,56.25,52097,0.74,turbulent
46092660,Trust Uw Art 31 For David S Lynch 10 3494 00 1,15251,9932,53.55,23185,0.7,turbulent
46092705,Parker Theodore Edson Tr U Will,34100,23658,44.14,46317,0.66,turbulent
46092730,Downs J A For Winchester Unit Soc  Tr,27520,19810,38.92,36883,0.56,turbulent
46092732,Jere A Downs Tr Uw Art 5 9 10 3654 00 0,24369,17627,38.25,32324,0.64,turbulent
46092818,William Cropper Trust 10 3806 00 6,4731,4192,12.86,173,0.51,turbulent
46092820,William H Cropper Tr U Will 10103808002,52481,32018,63.91,69167,0.67,turbulent
46092821,Trust Uw Art 18 William H Cropper 10 3809 00 0,205265,140091,46.52,-132326,0.7,turbulent
46092822,William H Cropper Trust Uw 10103810008,24813,15161,63.66,32575,0.67,turbulent
46092823,William H Cropper Trust 10 3811 00 6,20722,12475,66.11,27184,0.67,turbulent
46092861,Franklin S & Mabel A Hoyt Trust Ud 14 3863 00 9,28863,15564,85.44,35463,0.63,turbulent
46092890,Mary D Whitney Tr Uw   Ss,85321,45733,86.56,103875,0.63,turbulent
46092957,Edward P Faunce Tr Uw,318757,197663,61.26,397294,0.65,turbulent
46093002,William A Lynch Trust Uw 10 4082 00 3,19744,10532,87.47,26462,0.7,turbulent
46093047,Frances Knowles Warren Trust 14 4141 00 9,125334,97972,27.93,31690,0.26,strong_momentum_up
46093069,American Diabetes Association Tr,40531,28148,43.99,55064,0.66,turbulent
46093086,Joseph Nickerson Tr Uw 10 419900 5,23940,12835,86.51,31913,0.74,turbulent
46093280,Harry M Pethybridge Trust Uw,258402,130928,97.36,352272,0.69,turbulent
46093316,Georgiana Emery Trust Uw 10 4522 00 8,182563,98686,84.99,98793,0.53,turbulent
46093374,Arthur F Blanchard F Tr U Agree,1857701,1176142,57.95,2510748,0.71,turbulent
46093505,Charles Sumner Bird Foundation,192981,166460,15.93,-9500,0.43,weak_up
46093514,Frances Knowles Warren Trust Ua 14 4814,54852,43899,24.95,13630,0.5,turbulent
46093516,Frances Knowles Warren Trust Ua 14 4816,120857,94954,27.28,30840,0.25,strong_momentum_up
46093518,Frances Knowles Warren Trust Ua 14 4817 00 4 Personal Trust Par F ,156855,123173,27.34,40462,0.25,strong_momentum_up
46093520,Warren Frances Knowles Tr U Agree,47284,37229,27.01,10413,0.33,strong_momentum_up
46093522,Frances Knowles Warren Trust Ua 14 4819,61309,48504,26.4,17575,0.49,strong_momentum_up
46093542,Edward K Leighton Trust Uw,69971,33322,109.98,104797,0.77,turbulent
46093546,Edward K Leighton Trust Uw Art 7 A 10 4860 00 2,63618,30283,110.08,95248,0.77,turbulent
46093552,Edward K Leighton Trust Uw 10 4866009,65186,31109,109.54,97169,0.78,turbulent
46093553,Edward K Leighton Trust Uw Art 7 J 10 4867 00 7,21034,13533,55.43,31491,0.73,turbulent
46093555,Edward K Leighton Tr Uw 10104869003,449753,289547,55.33,682101,0.75,turbulent
46093840,Tr U/Ind Dorothy Melcher Sneath,400838,342519,17.03,70431,0.79,turbulent
46093897,Tr Uind Alice P Chase,637383,317086,101.01,887602,0.72,turbulent
46093899,George J Loveley Trust Uw 10 5501 00 1,109812,68169,61.09,144931,0.6,turbulent
46094026,Vena M Garvin Trust Uw 10 5717 00 3 Boston Safe Deposit & Trust Co Tr,6977,3891,79.29,8985,0.64,turbulent
46094293,Blanche E Colman Tr Uw 10106302003,49156,33236,47.9,65149,0.75,turbulent
46094844,Franz Brentano Foundation,33217,20010,66.0,45865,0.67,turbulent
46094894,Dorothy D Conkey Trust Ui 14 7258 00 8,100722,51156,96.89,131093,0.67,turbulent
46118801,Pride Of Boston Cemetery Association Trust,60932,24527,148.42,84368,0.74,turbulent
46118955,Cove Charitable Trust,467231,275408,69.65,-367632,0.83,turbulent
46127465,Edward Mayo Bayard Trus Ui August 30 1965,64240,45361,41.62,89630,0.66,turbulent
46146106,Ruth & Mabelle For Kent State,8001,26926,-70.28,182,1.2,turbulent
46168840,International Alliance Theatrical Stg Emp & Mov Pict Oper Of Usa,245683,386380,-36.41,321646,0.84,turbulent
46171963,Horace C Hunt Memorial Foundation,308754,370884,-16.75,92292,0.85,turbulent
46173120,Anna Harvey Tekulsky Tr U/D 15 0242 00 6,36707,31832,15.31,-11747,0.64,turbulent
46176476,Trust Uw William Chisholm 10 9030 00 7,100383,78129,28.48,16242,0.37,strong_momentum_up
46185933,Frederick A Bailey Trust Uw,115251,89245,29.14,25632,0.52,turbulent
46200325,Grace M West Tr Uw 10 9213 00 9,9087,6340,43.32,10378,0.64,turbulent
46200484,Sophie Berlin Memorial Fund,9147,14489,-36.87,-3930,0.56,turbulent
46200506,Georgia Lee Alford Memorial Scholarship Fund,39579,55819,-29.09,-19559,0.9,turbulent
46200584,Eola Johnson Weeks & Clarence B Weeks Charitable Trust,35526,86311,-58.84,-30027,0.69,turbulent
46212770,Horace A Moses Boston Turst Ud,88442,55863,58.32,118767,0.67,turbulent
46237788,Lucinda Wyman Prince Tr Uw,339743,164399,106.66,453399,0.64,turbulent
46245939,Charles Lincoln Ayling Tr Uw,569956,452357,26.0,-327042,0.69,turbulent
46246000,Harriet B Bayley Tr Ud,190541,115352,65.18,273492,0.84,turbulent
46256494,St Peters Episcopal Church Ethel Harkness Grace Per Mem Trust,29628,59534,-50.23,-24685,0.72,turbulent
46256495,Ethel Harkness Grace Perpetual Scholarship Fnd Fbo Wells College,12877,13820,-6.83,-14737,0.99,turbulent
46260921,World Literature Crusade 1132101 Nect,5238,11414,-54.1,-4074,0.9,turbulent
46278857,Mabel Louise Riley Foundation,3147855,5111705,-38.42,-2027604,0.56,turbulent
46279577,Cropper William H Tr U Will,16530,10028,64.83,21453,0.68,turbulent
46313309,Charles A Childs Family Memorial Fund,13293,28475,-53.32,-10956,0.82,turbulent
46314384,Sidney H & Mary L Langille Gray,21429,21181,1.17,-61163,0.74,turbulent
46317596,Carlton E Atwood Trust Uw 04 25 69 10109384008 Fbo Anne Kirby Atwood,11514,9041,27.35,-7460,0.66,turbulent
46317598,Fox Flora Tr U Will,70315,74405,-5.5,-52007,0.77,turbulent
46330090,Angie Crockett Trust Uw 10 9404 00 9,35690,18840,89.44,47729,0.67,turbulent
46335952,Jessie Steensma Endowment Trust To El Camino College,3768,11622,-67.58,1206,1.14,turbulent
46335985,Jessie Steensma Memorial Fund,3919,8901,-55.97,-2907,0.66,turbulent
46355360,Ruth Webster Memorial Fund 0432501,16394,23994,-31.67,-11682,0.58,turbulent
46361462,Pearl C Unger Unitrust 16815 Nect,5213,21230,-75.44,-4196,1.14,turbulent
46364773,George H Gildersleeve Trust 14 9716 00 3,68364,53105,28.73,88203,0.59,turbulent
46384106,Harry F Burroughs Tr U Ind,244697,187566,30.46,349339,0.65,turbulent
46398210,Lester I Beal Memorial Hospital Fund,35460,74651,-52.5,-20819,0.87,turbulent
46398211,Lester I Beal Memorial Scholarship Fund,30830,67919,-54.61,-18309,0.59,turbulent
46398214,Michael & Anna Bucholz Trust 7 8 76,29952,6539,358.04,-12783,2.2,turbulent
46407984,Shearer Bessie E Tr U Decl,88612,59193,49.7,119246,0.66,turbulent
46411644,Karl Fischer Trust Uw 10 9489 00 5,50384,25303,99.12,64242,0.81,turbulent
46423442,Edna H Tompkins Trust,151201,72900,107.41,198013,0.65,turbulent
46446132,A G Winsworth Trust 08284 03 0,15496,67799,-77.14,-11510,0.9,turbulent
46455276,Harry Sandler Tr Fbo Various Charities 10151478005,115450,97554,18.34,-65992,0.68,turbulent
46477185,Meyer Harold F Tr Uagree,143222,113765,25.89,95499,0.36,strong_momentum_up
46479449,Alcid H Simmons Trust Ua,59811,30315,97.3,82147,0.69,turbulent
46482694,Margaret Adam Fbo Session Of First Presbyterian Church 386404,8028,13022,-38.35,-6532,0.57,turbulent
46501247,Konrad Frederiksen Trust Fbo Salvation Army 32 9033560102,8187,10582,-22.63,-2071,0.28,strong_momentum_down
46501248,Konrad Frederiksen Tr Fbo Norwegian Christian Home 32 9033560200,15170,12356,22.78,-13141,1.12,turbulent
46501327,Grace C Thomas Char Tr Fbo Society For The Propagation Of The Faith,30403,70026,-56.58,-15609,0.61,turbulent
46508649,Benjamin & Ethel Andrews,19791,36013,-45.04,-16868,0.73,turbulent
46509165,Jobray Family Charitable Trust,95060,60214,57.87,32617,0.41,strong_momentum_up
46509333,John B Moran Marion M Moran & Esther M Sholkin Memorial Trust,18271,40359,-54.73,-14400,0.78,turbulent
46509334,Marion M Moran Tr 0805102,10705,27301,-60.79,-7615,0.76,turbulent
46526905,Albert M Larson Tr 8819,8196,20206,-59.44,7586,1.1,turbulent
46530269,Esther T Anderson Tr Fbo Regents Of Univ Of Minn 9544020,24738,40767,-39.32,-35190,0.66,turbulent
46530270,Esther T Anderson Tr 0954403,6920,24307,-71.53,-4409,1.14,turbulent
46530273,Esther T Anderson Tr Fbo Colorado Boys Ranch Foundation,3453,10775,-67.95,-5676,1.13,turbulent
46530274,Esther T Anderson Tr 3 Fob Esther T & Cecil H Anderson,9647,22480,-57.09,-7154,1.03,turbulent
46532158,V L & Aimee Becker Mem Fund,7552,21337,-64.6,-5791,0.69,turbulent
46580695,Raymond & Laura Fallona Charitable Foundation,462696,349426,32.42,72455,0.61,turbulent
46609558,Ohio Masonic Home Albert C Hessler,12005,19735,-39.17,-8926,0.69,turbulent
46620753,The June M Von Gruenigen Memorial Fund,17307,24134,-28.29,-16627,0.65,turbulent
46621260,Shriners Hospital For Crippled Children Tr 2225 02,14476,34979,-58.61,-11044,0.73,turbulent
46682131,Wartburg Home Tr 2787 01,8749,21506,-59.32,794,0.66,turbulent
46757486,William J & Christina R Wrighton Tr 4284 11,180305,208321,-13.45,-243337,1.23,turbulent
46774159,Mary A & Richard J Qualter Fund,18184,37486,-51.49,4560,0.77,turbulent
46793964,Laurelia M Clifford Irrv Tr 0157400,12043,23806,-49.41,-13525,0.77,turbulent
46793966,Mabelle O Baldwin Irrv Tr 0258400,17907,42648,-58.01,-15696,1.41,turbulent
46874900,David And Margaret Engel Family Foundation,23101,24580,-6.01,7932,0.74,turbulent
46905997,Grandin Family Foundation Tr,29886,60769,-50.82,1211,0.83,turbulent
46926918,Helen Norton Tr U Ind Fbo Wellesley College 10114857005,24294,14627,66.08,-22180,0.82,turbulent
50583053,Ben Franklin Pto,46891,59635,-21.37,48745,0.36,uncategorized
50614996,Baldwin Whitehall Friends Of The Theater Arts,5682,7996,-28.93,5886,0.46,uncategorized
56131502,Mary A Barker Memorial Fund,955308,2278042,-58.06,-242123,0.79,turbulent
56147571,Virginia M Berardino Charitable Tr,9353,10821,-13.57,-10868,0.69,turbulent
61672491,Blueroof Technologies Inc,89181,33605,165.38,-118655,0.77,turbulent
61699332,Neighbors In The Strip Inc,45255,65483,-30.89,6778,1.41,turbulent
61714498,Mckees Rocks Community Development Corp,1209748,481311,151.34,1157591,0.91,turbulent
61781422,Mckeesport Tiger Band And Orchestra Boosters,40259,67532,-40.39,9659,0.29,uncategorized
61800223,Vincentian Child Development Center,1397558,1396764,0.06,994399,0.27,stable
61826952,Mcgonigle Family Foundation Incorporated,69593,67456,3.17,-21823,0.3,stable
66051671,Millmont Foundation,28091,65270,-56.96,-1821,0.56,turbulent
66186996,H Arnold Jackson Tr Fbo Greenwich Boys Club,28228,17942,57.33,-31820,1.2,turbulent
66225265,The Harold G Van Oort Memorial Endowment Fund,87803,69464,26.4,45005,0.59,turbulent
66398458,Eversource Energy Services Company Non Union Ret Health Combined,2767851,21514441,-87.13,-5102968,0.67,turbulent
113295557,Marc A Somberg Memorial Foundation,23714,23353,1.55,24280,0.33,stable
113643210,Envisage Life,5247421,4254915,23.33,634089,0.3,strong_momentum_up
113666054,Alleghenny Council To Improve Out Neighborhoods Housing Inc,437165,589240,-25.81,-666851,1.67,turbulent
113694315,Portiuncula Foundation Of The Sisters Of St Francis Of The Neuma,251248,419192,-40.06,-216146,0.6,turbulent
113708851,University Of Pittsburgh And Upmc Medical And Health Sciences Fdn,13164950,11562818,13.86,-403958,0.17,weak_up
113761071,Eliza C Funk Charitable Foundation,187812,504298,-62.76,-3526,0.5,turbulent
116227659,Father Flanagan Boys Home 2,132288,68969,91.81,86797,0.67,turbulent
116325180,Tr U W Evelyn Pray B O United Methodist Church Of Hempstead,29796,36297,-17.91,-25529,0.9,turbulent
116325181,Tr U W Evelyn Pray B O Methodist Home Of Brooklyn,15828,24250,-34.73,-13958,1.23,turbulent
116325182,Tr U W Evelyn Pray B O Methodist Hospital Of Brooklyn,25199,33224,-24.15,-23686,1.04,turbulent
116325184,Tr U W Evelyn Pray B O Salvation Army,16482,27304,-39.64,-15062,1.1,turbulent
116325185,American Bible Society,18196,26905,-32.37,-15130,0.85,turbulent
131425760,United Electrical Radio & Machine Workers Of America,4704250,3422659,37.44,-584156,0.3,uncategorized
132643045,Agma Health Fund,9247654,7311405,26.48,3947211,0.18,strong_momentum_up
133041396,George Link Jr Foundation Inc,3351227,2502744,33.9,-255507,0.7,turbulent
133091601,American Society Of Biomechanics,161880,141787,14.17,173058,0.5,weak_up
133202047,S K Yee Foundation Inc,1707050,765944,122.87,-835631,1.33,turbulent
133318348,Early Music America Inc,502731,371936,35.17,-191375,0.16,uncategorized
133364852,Corning Glass Works Ltd Salaried Employees,88955234,661422,13349.08,16535811,1.86,turbulent
133413809,Father Flanagan Boys Home 1 538486,86610,47737,81.43,65006,0.65,turbulent
133417413,Presbyterian Church Hopewell Trust 792877,11047,8599,28.46,-9649,0.97,turbulent
133438873,Cong Church Of Manhasset,83145,47197,76.16,-93860,1.79,turbulent
133515780,National Association Of Perishable Agricultural Receivers Inc,81685,100326,-18.58,17930,0.23,weak_down
133543303,Gerald T Sutliff Tr Uw,30297,18279,65.75,42643,1.07,turbulent
133619111,European Community Studies Association Inc,92748,164661,-43.67,142414,0.55,turbulent
133653176,Community Service Society Of Ny No 3,45649,23153,97.16,61729,0.72,turbulent
133669246,Bella Spewack Tr Uw Article 5,83576,98332,-15.01,16480,0.61,turbulent
133728333,Arthur H Connor Charitable Tr,58581,46769,25.26,-49217,0.91,turbulent
133751306,Granite State Electric Company Post Retirement Benefit Trust For The,2386361,3474768,-31.32,1656557,0.66,turbulent
133751314,Granite State Electric Company Post Retirement Benefit Trust For The,17092391,16048351,6.51,-1897161,0.63,turbulent
133751316,Granite State Electric Company Postretirement Benefit Trust For,173073753,71058786,143.56,80863144,0.65,turbulent
133817903,Entergy Corp Companies Bargaining Employees Welfare Benefit Trust,18966228,28274195,-32.92,-6648205,0.64,turbulent
133817904,Entergy Corp Companies Non Bargaining Employees Welfare Benef,10165594,14527034,-30.02,-3090470,0.46,strong_momentum_down
133872638,New York Medical College Voluntary Employees Beneficiary Association,574617,779082,-26.24,-331596,0.41,strong_momentum_down
133913427,Keyspan Corporation Life Insurance Master Tr For Management Employees,3195212,3099994,3.07,-2134152,0.66,turbulent
