EIN,ORG_NAME,REV_2019,REV_2020,REV_2021,REV_2022,REV_2023,CAGR,VOLATILITY,YEARS_UP,YEARS_DOWN,PEAK_YEAR,TROUGH_YEAR,REBOUND_RATE
020733877,2004 Carita Foundation,,768455.0,493048.0,746386.0,377311.0,,192163.0,1,2,2020,2023,0.0
020758876,National Hockey League Players Health And Benefits Fund,41516862.0,40454824.0,44770762.0,45199037.0,,,2355711.0,2,1,2022,2020,
020761407,Edunations Inc,596288.0,476597.0,798907.0,855267.0,,,176281.0,2,1,2022,2020,
026006301,Arthur G Leacock Trust Uw,83185.0,76775.0,195828.0,114105.0,,,54720.0,1,2,2021,2020,
026006309,Paul Isabel Fbo Newfields Library Tr 10682496005,16152.0,13334.0,15611.0,18454.0,,,2102.0,2,1,2022,2020,
030322037,Sister Thea Bowman Black Catholic Education Foundation,240436.0,184481.0,307756.0,268533.0,,,51843.0,1,2,2021,2020,
030448978,Gospel Network For East West Services Inc,121466.0,154636.0,81990.0,76720.0,,,36557.0,1,2,2020,2022,
030480551,Mountain View Cancer Associates Inc,67483376.0,71775547.0,75566269.0,68382777.0,,,3674777.0,2,1,2021,2019,
030483260,Propel Schools Inc,24940423.0,26009398.0,27845397.0,29500508.0,,,2013995.0,3,0,2022,2019,
030491543,Ccopo Inc,37531.0,25195.0,17446.0,,,,10129.0,0,2,2019,2021,
030513070,Appalachian Work Camp Program Inc,156217.0,63676.0,167298.0,175845.0,,,52013.0,2,1,2022,2020,
030596955,Girard Lutheran Housing Corporation,264091.0,264235.0,267326.0,272955.0,,,4147.0,3,0,2022,2019,
036086723,Paul And Gene Doby Charitable Tr,,87190.0,65589.0,123055.0,-7357.0,,55017.0,1,2,2022,2023,
041302043,Lucy C Farnsworth Tr Uw,607628.0,351369.0,470548.0,537631.0,,,109070.0,2,1,2019,2020,
042210741,Dean Foundation For Little Children Inc,178489.0,186163.0,874504.0,132133.0,,,355257.0,2,1,2021,2022,
042392828,John L Brandegee Trust,1598481.0,908558.0,3758799.0,4358817.0,,,1662092.0,2,1,2022,2020,
042648729,William H Sweatt Tr Uw Art 12101657,100687.0,76028.0,101031.0,284925.0,,,96881.0,2,1,2022,2020,
042790229,Frances Emily Hunt Trust 10 9571 00 0 Codicil Fund,55900.0,41295.0,42132.0,88727.0,,,22177.0,2,1,2022,2020,
043220614,Eversource Retirees Benefit Trust,66507876.0,38179364.0,141470416.0,21027814.0,,,53197713.0,1,2,2021,2022,
043256436,Neely Charitable Fund 080440,17010.0,12649.0,37423.0,-1099.0,,,15944.0,1,2,2021,2022,
043296043,Fund For Charitable Giving,24089471.0,31932338.0,114342351.0,25080241.0,,,43793227.0,2,1,2021,2019,
043323314,Kremer Charitable Remainder Tr,,21359.0,27415.0,86410.0,-3520.0,,38092.0,2,1,2022,2023,
043388014,Sea Breeze Foundation,127541.0,107106.0,284601.0,163975.0,,,79426.0,1,2,2021,2020,
043504246,Chandler Grant Glaucoma Society Inc,25580.0,,,,,,,0,0,2019,2019,
043587471,Idea Foundry,910662.0,1582577.0,590995.0,250130.0,,,567509.0,1,2,2020,2022,
043629853,Pittsburgh Latin Mass Community,3865.0,4334.0,568.0,,,,2052.0,1,1,2020,2021,
043632700,Latter Glory Ministries,186385.0,121977.0,145197.0,255180.0,,,58421.0,2,1,2022,2020,
043731472,Elizabeth S Black Charitable Tr,1119617.0,837046.0,658293.0,572840.0,,,241642.0,0,3,2019,2022,
043747289,Eqt Foundation,1950262.0,1643081.0,3273457.0,1461370.0,,,819503.0,1,2,2021,2022,
043786410,Fun And Freedom Basketball Inc,69661.0,37474.0,66430.0,59257.0,,,14489.0,1,2,2019,2020,
043812442,Plum Hockey Association Inc,99679.0,94714.0,72711.0,102377.0,105248.0,(1.37+0j),13021.0,2,2,2023,2021,44.75
046009080,Knollwood Cemetery Perp Care Trust 10116230000,567000.0,560718.0,628406.0,874516.0,,,147760.0,2,1,2022,2020,
046009389,Knollwood Cemetary Bronze Memorial,95490.0,102878.0,92213.0,150289.0,91185.0,(-1.15+0j),24952.0,2,2,2022,2023,0.0
046014374,Horatio Davis Tr Uw Davis Fund,43619.0,31195.0,44017.0,126941.0,-7007.0,(-55.23+44.77j),48925.0,2,2,2022,2023,
046040470,John Calvin Noyes Scholarship Fund,36923.0,40073.0,81412.0,51525.0,,,20281.0,2,1,2021,2019,
046046890,Dean Welfare Trust Tr U Decl,85250.0,46524.0,236078.0,62105.0,,,87190.0,1,2,2021,2020,
046048040,John Brooks Fenno Fund,52359.0,34606.0,104535.0,53682.0,,,30110.0,1,2,2021,2020,
046053426,French Foundation,436244.0,534315.0,1328632.0,832631.0,,,400941.0,2,1,2021,2019,
046061020,James Duncan Phillips Tr Uw,,,,22058530.0,,,,0,0,2022,2022,
046061022,James D Phillips Tr Uw Atr5 Par 2 10 9622 00 1,198811.0,118073.0,274886.0,982707.0,,,397910.0,2,1,2022,2020,
046061034,J D Philips Tr Uw Art 5 Par 2,89213.0,29440.0,229350.0,53912.0,,,89349.0,1,2,2021,2020,
046078603,Gifford A Cochran Tr Ui 14 7842 00 9,14561.0,10724.0,15651.0,37681.0,,,12202.0,2,1,2022,2020,
046080005,Cotting School For Handicapped,2194.0,4212.0,4001.0,9661.0,,,3226.0,2,1,2022,2019,
046080024,Bishop Of The Episcopal Diocese,5079.0,7015.0,17072.0,-765.0,,,7425.0,2,1,2021,2022,
046080422,King Caesars Fund,61743.0,13369.0,41390.0,-447.0,,,27911.0,1,2,2019,2022,
046081375,Amer Class Leag Of Miami Univ Trust 1997 Nect,65510.0,20795.0,58121.0,-1454.0,,,31591.0,1,2,2019,2022,
046081442,The William Guild Howard Memorial Scholarship Fund For European Stud,154460.0,7552.0,87232.0,1503.0,,,72590.0,1,2,2019,2022,
046082918,Aimee M L Becker Trust 03733 01 0 02 13 61,499579.0,338104.0,2171400.0,-285332.0,,,1049695.0,1,2,2021,2022,
046083332,Joseph E Simmons Trust,7421.0,4256.0,10769.0,-351.0,,,4734.0,1,2,2021,2022,
046091311,Tr U/W Charles M Blake,11115.0,8427.0,9833.0,34727.0,,,12516.0,2,1,2022,2020,
046091333,Frank E Busiel Tr Uw   Jjm,71695.0,55612.0,84417.0,205666.0,,,68566.0,2,1,2022,2020,
046091344,Trust Uw Isaac W Chick 10 0202 00 1,8352.0,6316.0,7554.0,26364.0,,,9515.0,2,1,2022,2020,
046091346,Caroline E Chickering Trust Uw 10 0212 00 0,295998.0,233197.0,323492.0,881100.0,,,300819.0,2,1,2022,2020,
046091347,Tr U/W George E Chickering,10891.0,8974.0,11537.0,32740.0,,,11189.0,2,1,2022,2020,
046091348,Samuel G Chickering Trust Uw Art 5 10 0214 00 6,438612.0,339900.0,454858.0,1329124.0,,,461803.0,2,1,2022,2020,
046091349,Samuel Chickering Trust 14 0215 00 5,7324.0,5747.0,6862.0,24257.0,,,8831.0,2,1,2022,2020,
046091350,Samuel Chickering Tr 14 0216 00 3,15183.0,11778.0,14327.0,46461.0,,,16413.0,2,1,2022,2020,
046091357,William H Conant T U W,33547.0,25036.0,34152.0,95204.0,,,32414.0,2,1,2022,2020,
046091358,William H Conant Trust Ui 14 0244 00 5,328108.0,227443.0,311161.0,908413.0,,,312865.0,2,1,2022,2020,
046091359,Converse C & M I Costello Trust Ui 14 0245 00 2,22880.0,18046.0,29495.0,52960.0,,,15472.0,2,1,2022,2020,
046091399,Bartlett Doe Fund Trust Ui 14 0381 00 5,39236.0,29386.0,43560.0,102330.0,,,33005.0,2,1,2022,2020,
046091426,Fay Eugene F Tr U Will,102087.0,76914.0,102740.0,276891.0,,,92275.0,2,1,2022,2020,
046091443,John H G & Grace B Gilbert Tr U Ind 10140518002,47987.0,37083.0,56212.0,133019.0,,,43671.0,2,1,2022,2020,
046091452,Trust Ui Charles H Greenleaf Art 2 14 0543 00 0 Par 1,5426.0,4102.0,6157.0,14979.0,,,4949.0,2,1,2022,2020,
046091453,Greenleaf Charles H Tr U Ind,2904.0,3453.0,2343.0,3637.0,,,584.0,2,1,2022,2021,
046091454,Charles H Greenleaf Tr Ui 10140546003,8585.0,6572.0,9046.0,23932.0,,,8005.0,2,1,2022,2020,
046091455,Trust Ui Charles H Greenleaf Art 2 Par 10 14 0548 00 9,10924.0,8193.0,11099.0,29649.0,,,9879.0,2,1,2022,2020,
046091456,Charles H Greenleaf Trust 14 0549 00 7,2900.0,3472.0,2418.0,3914.0,,,654.0,2,1,2022,2021,
046091457,Charles H Greenleaf Trust U Tnd 14 0550 00 5,25982.0,20376.0,28857.0,66912.0,,,21215.0,2,1,2022,2020,
046091533,Daniel W Lawrence Trust Ua 14 0757 00 6,121881.0,95897.0,144794.0,340084.0,,,111419.0,2,1,2022,2020,
046091556,Louis P Metcalf Trust Ui 14 0827 00 7,33725.0,26338.0,40138.0,91456.0,,,29570.0,2,1,2022,2020,
046091567,Neal John R Tr Uwill 10100864008,31705.0,23859.0,28247.0,98799.0,,,35576.0,2,1,2022,2020,
046091580,Gilman L Parker Tr 10 10 0901 00 8,5250.0,3623.0,5016.0,13402.0,,,4445.0,2,1,2022,2020,
046091581,Moses Greely Parker Trust Uw 10 0902 00 6,19377.0,14262.0,17722.0,58551.0,,,20825.0,2,1,2022,2020,
046091583,Parker Moses Greely Tr Uw,39710.0,30932.0,40055.0,111231.0,,,37405.0,2,1,2022,2020,
046091592,Permanent Science Fund Trust U Decl,184192.0,146994.0,204398.0,495977.0,,,160495.0,2,1,2022,2020,
046091626,John C & Cora Mack Robinson Trust U/I,3700.0,2471.0,3448.0,10857.0,,,3862.0,2,1,2022,2020,
046091629,Roswell R Robinson Trust U Ind 14 1050 00 5,63616.0,51697.0,67453.0,190369.0,,,65070.0,2,1,2022,2020,
046091636,Frederick C Sanford Trust Uw 10 1070 001,15376.0,12105.0,14645.0,49747.0,,,17907.0,2,1,2022,2020,
046091637,Sanford Fredrick C Tr Uwill,17689.0,13605.0,16540.0,56196.0,,,20199.0,2,1,2022,2020,
046091653,Jeanette T Sheldon Endowment Fund Trust Ua,2673.0,3967.0,3953.0,2269.0,,,875.0,1,2,2020,2022,
046091663,Timothy Smith Trust Uw Art 33 10 1147 00 7,12033.0,9855.0,13337.0,38877.0,,,13643.0,2,1,2022,2020,
046091664,Timothy Smith Trust Uw 10 1148 00 5 Nect,121646.0,120461.0,138882.0,417287.0,,,145389.0,2,1,2022,2020,
046091666,Tr U/W Timothy Smith,1112356.0,1018340.0,1183573.0,3710244.0,,,1304500.0,2,1,2022,2020,
046091668,Dorothy H Spaulding Tr Udecl 14 1161 00 0,21388.0,16791.0,19772.0,70625.0,,,25725.0,2,1,2022,2020,
046091682,Tr U/W Peter E Strauss,206967.0,159326.0,208104.0,591189.0,,,201150.0,2,1,2022,2020,
046091829,Arthur Fletcher Whitlin Tr Uw   Mhg,34809.0,26057.0,35989.0,101096.0,,,34690.0,2,1,2022,2020,
046091845,Mary E Winter Trust Uw 10 1406 00 7 Nect,11889.0,9175.0,10761.0,39105.0,,,14292.0,2,1,2022,2020,
046091865,Trust U/W Charles C Ely,247994.0,183749.0,251746.0,680482.0,,,228468.0,2,1,2022,2020,
046091874,Susanna K Tobey Trust Uw 10 1518 00 9,50221.0,40703.0,53714.0,150081.0,,,51230.0,2,1,2022,2020,
046091916,Robert H Kelly Trust Ui 14 1664 00 3,178423.0,144365.0,210602.0,509172.0,,,167880.0,2,1,2022,2020,
046091978,Mary Ida Converse Trust Ui 14 1813 00 6,123690.0,94896.0,93887.0,37142.0,,,36245.0,0,3,2019,2022,
046091990,Frank A Champlain Tr 10 10 1849 008,15609.0,11800.0,14155.0,49340.0,,,17812.0,2,1,2022,2020,
046091996,Arthur Felton Trust 14 1865 00 6,3610.0,2714.0,3250.0,11422.0,,,4132.0,2,1,2022,2020,
046092011,B T Morrison Trust Ui 14 1918 00 0,32861.0,25867.0,34074.0,96807.0,,,33135.0,2,1,2022,2020,
046092036,Helen R Richards Tr Uw 10 1971 00 0,299303.0,238480.0,357990.0,848803.0,,,279399.0,2,1,2022,2020,
046092040,Deutsches Altenheim Inc Tr U/Deed 14 1978 007 Nect,45204.0,29656.0,74124.0,93556.0,,,28656.0,2,1,2022,2020,
046092050,Helen Walcott Stockwell Tr Uw 10101998003,66937.0,51908.0,69965.0,188722.0,,,63386.0,2,1,2022,2020,
046092181,Elizabeth S Tappan Tr 10102442001,7230.0,5312.0,6504.0,22547.0,,,8138.0,2,1,2022,2020,
046092262,Tr U/W Pamelia E Sayward,40147.0,31096.0,39619.0,108467.0,,,35996.0,2,1,2022,2020,
046092271,Tr U/Deed Charles M Cox 14 2640 00 2,29677.0,23138.0,30090.0,84579.0,,,28650.0,2,1,2022,2020,
046092280,Madeline H Soren Tr U Will 10102663002,30426.0,25360.0,31257.0,12872.0,,,8482.0,1,2,2021,2022,
046092311,Theodore H Castor Tr Uw 10102759008,56408.0,44590.0,59057.0,172343.0,,,59827.0,2,1,2022,2020,
046092370,Trust Udecl Fannie E Morrison 14 2898 00 6,12190.0,9532.0,13212.0,35159.0,,,11859.0,2,1,2022,2020,
046092378,Charles B Oliver Trust Uw 10 2919 00 8,8851.0,6824.0,8441.0,28845.0,,,10440.0,2,1,2022,2020,
046092398,Adelaide Willett Trust 10 14 2977 00 8,10875.0,8590.0,10453.0,35525.0,,,12815.0,2,1,2022,2020,
046092443,Tr Uw William M Currier 10 3062 00 6,31716.0,49369.0,97139.0,16130.0,,,35100.0,2,1,2021,2022,
046092496,Warren Frances Knowles Trust U Ind 14 3171 0007,330475.0,376743.0,408177.0,484900.0,,,64934.0,3,0,2022,2019,
046092524,Lewis Bass Trust Uw 10103231007,72251.0,55700.0,73730.0,214778.0,,,74227.0,2,1,2022,2020,
046092529,Herbert H Fletcher Tr U Will 10103244000,26078.0,20281.0,26048.0,72023.0,,,24098.0,2,1,2022,2020,
046092559,Fanny B Reed Tr Uw   Mhg,124979.0,94883.0,133434.0,347286.0,,,115947.0,2,1,2022,2020,
046092560,Frederick W Bridge Trust Uw 10 3291 00 1,29546.0,23242.0,27194.0,98795.0,,,36161.0,2,1,2022,2020,
046092582,Herbert Russell P Tru U Will 10103329009,33123.0,25895.0,30931.0,90531.0,,,30425.0,2,1,2022,2020,
046092659,David S Lynch Trust Uw Art 30 10 3493 00 3,20518.0,16335.0,19231.0,68432.0,,,24930.0,2,1,2022,2020,
046092660,Trust Uw Art 31 For David S Lynch 10 3494 00 1,9120.0,7089.0,8392.0,30274.0,,,11069.0,2,1,2022,2020,
046092705,Parker Theodore Edson Tr U Will,22234.0,16930.0,22124.0,63247.0,,,21551.0,2,1,2022,2020,
046092730,Downs J A For Winchester Unit Soc  Tr,18706.0,13698.0,18281.0,50581.0,,,16995.0,2,1,2022,2020,
046092732,Jere A Downs Tr Uw Art 5 9 10 3654 00 0,16186.0,12399.0,15987.0,44723.0,,,15034.0,2,1,2022,2020,
046092818,William Cropper Trust 10 3806 00 6,3913.0,4733.0,4556.0,4906.0,,,434.0,2,1,2022,2019,
046092820,William H Cropper Tr U Will 10103808002,32793.0,25915.0,36448.0,95082.0,,,31981.0,2,1,2022,2020,
046092821,Trust Uw Art 18 William H Cropper 10 3809 00 0,116461.0,190564.0,366993.0,58238.0,,,134044.0,2,1,2021,2022,
046092822,William H Cropper Trust Uw 10103810008,15387.0,12175.0,17516.0,44750.0,,,15023.0,2,1,2022,2020,
046092823,William H Cropper Trust 10 3811 00 6,12704.0,9926.0,15130.0,37110.0,,,12445.0,2,1,2022,2020,
046092861,Franklin S & Mabel A Hoyt Trust Ud 14 3863 00 9,19053.0,14633.0,21860.0,50096.0,,,16068.0,2,1,2022,2020,
046092890,Mary D Whitney Tr Uw   Ss,58727.0,42990.0,66110.0,146865.0,,,46473.0,2,1,2022,2020,
046092957,Edward P Faunce Tr Uw,201615.0,159289.0,240399.0,556583.0,,,181129.0,2,1,2022,2020,
046093002,William A Lynch Trust Uw 10 4082 00 3,13627.0,9858.0,13056.0,36320.0,,,12183.0,2,1,2022,2020,
046093047,Frances Knowles Warren Trust 14 4141 00 9,97669.0,111593.0,121128.0,143283.0,,,19172.0,3,0,2022,2019,
046093069,American Diabetes Association Tr,26947.0,19672.0,27186.0,74736.0,,,25309.0,2,1,2022,2020,
046093086,Joseph Nickerson Tr Uw 10 419900 5,16389.0,11911.0,16085.0,43824.0,,,14658.0,2,1,2022,2020,
046093280,Harry M Pethybridge Trust Uw,170371.0,126571.0,169794.0,478843.0,,,162929.0,2,1,2022,2020,
046093316,Georgiana Emery Trust Uw 10 4522 00 8,147739.0,106565.0,235768.0,205358.0,,,57838.0,1,2,2021,2020,
046093374,Arthur F Blanchard F Tr U Agree,1199341.0,927770.0,1206816.0,3438518.0,,,1170824.0,2,1,2022,2020,
046093505,Charles Sumner Bird Foundation,181017.0,198890.0,190663.0,189390.0,,,7315.0,1,2,2020,2019,
046093514,Frances Knowles Warren Trust Ua 14 4814,43482.0,48974.0,52980.0,62604.0,,,8065.0,3,0,2022,2019,
046093516,Frances Knowles Warren Trust Ua 14 4816,94240.0,107697.0,116338.0,138537.0,,,18597.0,3,0,2022,2019,
046093518,Frances Knowles Warren Trust Ua 14 4817 00 4 Personal Trust Par F ,122664.0,139482.0,151140.0,179944.0,,,24113.0,3,0,2022,2019,
046093520,Warren Frances Knowles Tr U Agree,37293.0,43080.0,45280.0,53493.0,,,6711.0,3,0,2022,2019,
046093522,Frances Knowles Warren Trust Ua 14 4819,48009.0,54100.0,58153.0,71675.0,,,10034.0,3,0,2022,2019,
046093542,Edward K Leighton Trust Uw,42530.0,33158.0,38800.0,137955.0,,,50045.0,2,1,2022,2020,
046093546,Edward K Leighton Trust Uw Art 7 A 10 4860 00 2,38519.0,30159.0,35290.0,125407.0,,,45506.0,2,1,2022,2020,
046093552,Edward K Leighton Trust Uw 10 4866009,40380.0,31090.0,36210.0,128259.0,,,46339.0,2,1,2022,2020,
046093553,Edward K Leighton Trust Uw Art 7 J 10 4867 00 7,12433.0,9965.0,11683.0,41456.0,,,15083.0,2,1,2022,2020,
046093555,Edward K Leighton Tr Uw 10104869003,270791.0,209483.0,248193.0,891584.0,,,325367.0,2,1,2022,2020,
046093625,Ida M Neary Trust Uw 10104994009,,8491.0,12834.0,31609.0,,,12287.0,2,0,2022,2020,
046093840,Tr U/Ind Dorothy Melcher Sneath,396264.0,316057.0,499971.0,386488.0,,,75800.0,1,2,2021,2020,
046093897,Tr Uind Alice P Chase,430010.0,307673.0,409201.0,1195275.0,,,409989.0,2,1,2022,2020,
046093899,George J Loveley Trust Uw 10 5501 00 1,71667.0,54873.0,74761.0,199804.0,,,66925.0,2,1,2022,2020,
046094026,Vena M Garvin Trust Uw 10 5717 00 3 Boston Safe Deposit & Trust Co Tr,4879.0,3658.0,4631.0,12643.0,,,4160.0,2,1,2022,2020,
046094293,Blanche E Colman Tr Uw 10106302003,31956.0,25209.0,31902.0,90358.0,,,30499.0,2,1,2022,2020,
046094844,Franz Brentano Foundation,20258.0,16186.0,21416.0,62051.0,,,21499.0,2,1,2022,2020,
046094894,Dorothy D Conkey Trust Ui 14 7258 00 8,63126.0,48951.0,73172.0,180044.0,,,59976.0,2,1,2022,2020,
046118801,Pride Of Boston Cemetery Association Trust,34171.0,28431.0,41566.0,112799.0,,,39407.0,2,1,2022,2020,
046118955,Cove Charitable Trust,203645.0,463824.0,841677.0,96192.0,,,331662.0,2,1,2021,2022,
046127465,Edward Mayo Bayard Trus Ui August 30 1965,40014.0,30878.0,41336.0,120508.0,,,41809.0,2,1,2022,2020,
046146106,Ruth & Mabelle For Kent State,59160.0,6392.0,11039.0,6574.0,,,25669.0,1,2,2019,2020,
046168840,International Alliance Theatrical Stg Emp & Mov Pict Oper Of Usa,379780.0,144933.0,125538.0,466579.0,,,170164.0,1,2,2022,2021,
046171963,Horace C Hunt Memorial Foundation,306592.0,253945.0,326081.0,346237.0,,,39635.0,2,1,2022,2020,
046173120,Anna Harvey Tekulsky Tr U/D 15 0242 00 6,43582.0,26278.0,69313.0,14531.0,,,23799.0,1,2,2021,2022,
046176476,Trust Uw William Chisholm 10 9030 00 7,54155.0,76741.0,131426.0,92983.0,,,32558.0,2,1,2021,2019,
046185933,Frederick A Bailey Trust Uw,110242.0,88050.0,144022.0,113682.0,,,23014.0,1,2,2021,2020,
046200325,Grace M West Tr Uw 10 9213 00 9,6209.0,4714.0,7456.0,15092.0,,,4621.0,2,1,2022,2020,
046200484,Sophie Berlin Memorial Fund,11061.0,8019.0,15333.0,4089.0,,,4756.0,1,2,2021,2022,
046200506,Georgia Lee Alford Memorial Scholarship Fund,99878.0,13864.0,110568.0,-5695.0,,,59097.0,1,2,2021,2022,
046200584,Eola Johnson Weeks & Clarence B Weeks Charitable Trust,125713.0,27798.0,81009.0,-2229.0,,,56728.0,1,2,2019,2022,
046212770,Horace A Moses Boston Turst Ud,55717.0,44405.0,57751.0,163172.0,,,55585.0,2,1,2022,2020,
046237788,Lucinda Wyman Prince Tr Uw,223474.0,161625.0,242580.0,615024.0,,,205820.0,2,1,2022,2020,
046245939,Charles Lincoln Ayling Tr Uw,358859.0,482754.0,1071403.0,155712.0,,,393308.0,2,1,2021,2022,
046246000,Harriet B Bayley Tr Ud,111617.0,93282.0,111567.0,366774.0,,,130927.0,2,1,2022,2020,
046256494,St Peters Episcopal Church Ethel Harkness Grace Per Mem Trust,89714.0,22242.0,69087.0,-2443.0,,,42221.0,1,2,2019,2022,
046256495,Ethel Harkness Grace Perpetual Scholarship Fnd Fbo Wells College,10427.0,18459.0,16450.0,3722.0,,,6639.0,1,2,2020,2022,
046260921,World Literature Crusade 1132101 Nect,,3633.0,12524.0,-441.0,,,6630.0,1,1,2021,2022,
046278857,Mabel Louise Riley Foundation,4258327.0,2916262.0,5638646.0,888658.0,,,2023735.0,1,2,2021,2022,
046279577,Cropper William H Tr U Will,10185.0,8138.0,11861.0,29591.0,,,9883.0,2,1,2022,2020,
046313309,Charles A Childs Family Memorial Fund,43034.0,10416.0,30004.0,-540.0,,,19513.0,1,2,2019,2022,
046314384,Sidney H & Mary L Langille Gray,,16797.0,48023.0,29405.0,-13140.0,,25703.0,1,2,2021,2023,
046317596,Carlton E Atwood Trust Uw 04 25 69 10109384008 Fbo Anne Kirby Atwood,6815.0,10665.0,20674.0,3205.0,,,7533.0,2,1,2021,2022,
046317598,Fox Flora Tr U Will,49123.0,68258.0,126436.0,16251.0,,,46237.0,2,1,2021,2022,
046330090,Angie Crockett Trust Uw 10 9404 00 9,22951.0,17817.0,23707.0,65546.0,,,22182.0,2,1,2022,2020,
046335952,Jessie Steensma Endowment Trust To El Camino College,25359.0,1680.0,6739.0,2886.0,,,11009.0,1,2,2019,2020,
046335985,Jessie Steensma Memorial Fund,13498.0,2804.0,9058.0,-103.0,,,6127.0,1,2,2019,2022,
046355360,Ruth Webster Memorial Fund 0432501,31181.0,12857.0,35152.0,1175.0,,,15916.0,1,2,2021,2022,
046361462,Pearl C Unger Unitrust 16815 Nect,46421.0,3291.0,13254.0,-905.0,,,21442.0,1,2,2019,2022,
046364773,George H Gildersleeve Trust 14 9716 00 3,43716.0,33340.0,50210.0,121543.0,,,40166.0,2,1,2022,2020,
046384106,Harry F Burroughs Tr U Ind,166682.0,114820.0,155114.0,464159.0,,,160854.0,2,1,2022,2020,
046398210,Lester I Beal Memorial Hospital Fund,135515.0,26358.0,74485.0,5539.0,,,57762.0,1,2,2019,2022,
046398211,Lester I Beal Memorial Scholarship Fund,118412.0,22389.0,66022.0,4080.0,,,50919.0,1,2,2019,2022,
046398214,Michael & Anna Bucholz Trust 7 8 76,6981.0,3836.0,94969.0,-8947.0,,,47673.0,1,2,2021,2022,
046407984,Shearer Bessie E Tr U Decl,54466.0,43416.0,59758.0,162662.0,,,55477.0,2,1,2022,2020,
046411644,Karl Fischer Trust Uw 10 9489 00 5,35433.0,26438.0,34036.0,90680.0,,,29620.0,2,1,2022,2020,
046423442,Edna H Tompkins Trust,99886.0,76621.0,102350.0,274634.0,,,91577.0,2,1,2022,2020,
046446132,A G Winsworth Trust 08284 03 0,41291.0,11864.0,34270.0,354.0,,,19096.0,1,2,2019,2022,
046455276,Harry Sandler Tr Fbo Various Charities 10151478005,75122.0,95850.0,220644.0,29858.0,,,81641.0,2,1,2021,2022,
046477185,Meyer Harold F Tr Uagree,111977.0,80695.0,172778.0,176194.0,,,46913.0,2,1,2022,2020,
046479449,Alcid H Simmons Trust Ua,38361.0,29373.0,38541.0,111520.0,,,38287.0,2,1,2022,2020,
046482694,Margaret Adam Fbo Session Of First Presbyterian Church 386404,15630.0,6224.0,18170.0,-308.0,,,8543.0,1,2,2021,2022,
046501247,Konrad Frederiksen Trust Fbo Salvation Army 32 9033560102,9839.0,8513.0,9606.0,6442.0,,,1550.0,1,2,2019,2022,
